03/01/19,00:00,250250044,Boston-Von Hillern,-5,BARPR,MILLIBAR,1023.7,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250044,Boston-Von Hillern,-5,CO,PPM,0.16,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250044,Boston-Von Hillern,-5,NO,PPB,5,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250044,Boston-Von Hillern,-5,NO2,PPB,26,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250044,Boston-Von Hillern,-5,NOX,PPB,30,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250044,Boston-Von Hillern,-5,PM2.5,UG/M3,8,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250044,Boston-Von Hillern,-5,RHUM,PERCENT,32,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250044,Boston-Von Hillern,-5,SRAD,WATTS/M2,0,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250044,Boston-Von Hillern,-5,TEMP,C,-2,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250044,Boston-Von Hillern,-5,WD,DEGREES,336,Massachusetts Dept. of Environmental Protection
03/01/19,00:00,250250044,Boston-Von Hillern,-5,WS,M/S,2.1,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250002,BOSTON-KENMORE,-5,NO,PPB,1,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250002,BOSTON-KENMORE,-5,NO2,PPB,5,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250002,BOSTON-KENMORE,-5,NOX,PPB,6,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250002,BOSTON-KENMORE,-5,SO2,PPB,0,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250042,Boston - Roxbury,-5,BARPR,MILLIBAR,1002.4,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250042,Boston - Roxbury,-5,CO,PPM,0.2,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250042,Boston - Roxbury,-5,NO,PPB,1,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250042,Boston - Roxbury,-5,NO2,PPB,7,Massachusetts Dept. of Environmental Protection
04/01/19,00:00,250250042,Boston - Roxbury,-5,NOX,PPB,7,Massachusetts Dept. of Environmental Protection
