FID,Name,TotChild,OlderAdult,MedIllnes,POC2,LEP,Low_to_No,TotDis,MBTA_Stops_Count,Bus_Stops_Count,Blue_Bikes_Stations_Count,Blue_Bikes_Docks_Count,Air_Quality_Tooltip
21,Hyde Park,366,131,792.52,1094,291,160,161,0,10,0,0,NO2: 16.883370786516856<br>O3: 26.098089887640448<br>PM10: 22.78752808988764<br>PM2.5: 8.980168539325843<br>SO2: 0.3646067415730337<br>AQI: 35.98314606741573<br>Category: Good air quality<br>ZipCode: 2136<br>
22,Hyde Park,1401,725,2153.35,3200,1565,840,745,0,26,0,0,NO2: 16.883370786516856<br>O3: 26.098089887640448<br>PM10: 22.78752808988764<br>PM2.5: 8.980168539325843<br>SO2: 0.3646067415730337<br>AQI: 35.98314606741573<br>Category: Good air quality<br>ZipCode: 2136<br>
23,West Roxbury,975,546,1660.79,2702,1212,666,529,0,49,0,0,NO2: 16.883370786516856<br>O3: 26.098089887640448<br>PM10: 22.78752808988764<br>PM2.5: 8.980168539325843<br>SO2: 0.3646067415730337<br>AQI: 35.98314606741573<br>Category: Good air quality<br>ZipCode: 2136<br>
24,Mattapan,1585,772,2169.73,2650,1636,864,1041,3,27,2,32,NO2: 20.18522471910112<br>O3: 22.01848314606741<br>PM10: 22.29140449438202<br>PM2.5: 9.31073033707865<br>SO2: 0.3985955056179775<br>AQI: 36.79775280898876<br>Category: Good air quality<br>ZipCode: 2124<br>
25,Dorchester,1006,429,1878.33,3052,1270,841,450,0,11,2,30,NO2: 21.74837078651685<br>O3: 21.05870786516854<br>PM10: 20.611404494382025<br>PM2.5: 9.413258426966292<br>SO2: 0.4053370786516854<br>AQI: 37.651685393258425<br>Category: Good air quality<br>ZipCode: 2122<br>
26,Dorchester,1413,493,2149.0,5193,1749,1256,894,0,29,1,17,NO2: 20.18522471910112<br>O3: 22.01848314606741<br>PM10: 22.29140449438202<br>PM2.5: 9.31073033707865<br>SO2: 0.3985955056179775<br>AQI: 36.79775280898876<br>Category: Good air quality<br>ZipCode: 2124<br>
27,Mattapan,1016,599,1839.6,4308,1689,1090,723,0,19,1,15,NO2: 20.18522471910112<br>O3: 22.01848314606741<br>PM10: 22.29140449438202<br>PM2.5: 9.31073033707865<br>SO2: 0.3985955056179775<br>AQI: 36.79775280898876<br>Category: Good air quality<br>ZipCode: 2124<br>
28,Mattapan,1052,355,1199.65,3183,1660,1305,672,0,18,1,15,NO2: 20.18522471910112<br>O3: 22.01848314606741<br>PM10: 22.29140449438202<br>PM2.5: 9.31073033707865<br>SO2: 0.3985955056179775<br>AQI: 36.79775280898876<br>Category: Good air quality<br>ZipCode: 2124<br>
29,West Roxbury,716,816,1931.52,942,1196,380,614,0,36,1,19,NO2: 12.468988764044944<br>O3: 23.66533707865169<br>PM10: 12.829494382022473<br>PM2.5: 5.952696629213483<br>SO2: 0.3387640449438202<br>AQI: 27.735955056179776<br>Category: Good air quality<br>ZipCode: 2132<br>
30,Roslindale,1004,690,1752.17,742,878,188,297,0,27,1,17,NO2: 12.468988764044944<br>O3: 23.66533707865169<br>PM10: 12.829494382022473<br>PM2.5: 5.952696629213483<br>SO2: 0.3387640449438202<br>AQI: 27.735955056179776<br>Category: Good air quality<br>ZipCode: 2132<br>
31,Roslindale,872,746,1874.69,593,938,192,301,0,26,1,19,NO2: 12.468988764044944<br>O3: 23.66533707865169<br>PM10: 12.829494382022473<br>PM2.5: 5.952696629213483<br>SO2: 0.3387640449438202<br>AQI: 27.735955056179776<br>Category: Good air quality<br>ZipCode: 2132<br>
32,West Roxbury,1135,1043,2388.24,1117,1422,379,702,0,40,0,0,NO2: 12.468988764044944<br>O3: 23.66533707865169<br>PM10: 12.829494382022473<br>PM2.5: 5.952696629213483<br>SO2: 0.3387640449438202<br>AQI: 27.735955056179776<br>Category: Good air quality<br>ZipCode: 2132<br>
33,Jamaica Plain,173,239,830.1,747,649,410,179,1,6,1,15,NO2: 21.70022471910112<br>O3: 20.363595505617976<br>PM10: 29.07741573033708<br>PM2.5: 9.905730337078651<br>SO2: 0.3639887640449438<br>AQI: 39.764044943820224<br>Category: Good air quality<br>ZipCode: 2130<br>
