date,pm25,pm10,o3,no2,so2, co
2023/9/14,29, ,26,9, ,3
2023/9/15,21, ,18,5, ,2
2023/9/16,16, ,21,3, ,2
2023/9/17,21, ,27,4, ,3
2023/9/18,26, ,21,12, ,2
2023/9/19,25, ,24,5, ,3
2023/9/20,15, ,24,8, ,3
2023/9/21,21, ,22,12, ,4
2023/9/22,25, ,20,7, ,4
2023/9/23,26, ,22,7, ,1
2023/9/24,17, ,25,7, ,1
2023/9/25,25, ,24,14, ,2
2023/9/26,42, ,18,17, ,4
2023/9/27,43, ,18,13, ,3
2023/9/28,28, ,21,10, ,4
2023/9/29,36, ,17,16, ,4
2023/9/30,56, ,19,8, ,3
2023/10/1,67, ,15,12, ,6
2023/4/2,52, ,37,6, ,2
2023/4/3,16,12,39,16, ,3
2023/4/4,24,20,35,18, ,3
2023/4/5,41,24,31,7, ,1
2023/4/6,37,21,35,15, ,3
2023/4/7,44,10,37,10, ,2
2023/4/8,19,10,37,10, ,2
2023/4/9,22,10,36,8, ,2
2023/4/10,23,17,39,16, ,2
2023/4/11,29,21,43,15, ,3
2023/4/12,34,22,40,13, ,2
2023/4/13,32,25,52,18, ,4
2023/4/14,43,41,51,17, ,3
2023/4/15,61,23,36,7, ,2
2023/4/16,52,10,22,6, ,1
2023/4/17,31,18,18,12, ,2
2023/4/18,33,10,31,11, ,2
2023/4/19,25,6,27,9, ,1
2023/4/20,12,14,34,10, ,2
2023/4/21,20,24,26,9, ,1
2023/4/22,29,27,29,3, ,1
2023/4/23,35,17,30,3, ,1
2023/4/24,35,13,29,10, ,2
2023/4/25,26,15,32,9, ,1
2023/4/26,33,17,36,5, ,1
2023/4/27,26,16,33,13, ,2
2023/4/28,43,19,35,12, ,3
2023/4/29,45,18,33,3, ,1
2023/4/30,37,11,35,6, ,1
2023/5/1,27,13,37,8, ,2
2023/5/2,25,13,29,12, ,3
2023/5/3,27,14,32,12, ,2
2023/5/4,26,9,28,10, ,2
2023/5/5,17,11,25,9, ,2
2023/5/6,17,8,33,9, ,3
2023/5/7,19,8,34,5, ,2
2023/5/8,19,11,40,6, ,2
2023/5/9,24,20,30,9, ,2
2023/5/10,23,16,38,13, ,2
2023/5/11,28,23,36,13, ,3
2023/5/12,50,19,45,17, ,4
2023/5/13,41,17,40,8, ,2
2023/5/14,38,14,32,3, ,1
2023/5/15,24,16,36,11, ,2
2023/5/16,22,28,48,10, ,2
2023/5/17,34,19,34,8, ,1
2023/5/18,25,12,34,11, ,2
2023/5/19,17,17,36,9, ,2
2023/5/20,26,12,26,5, ,2
2023/5/21,39,15,33,4, ,2
2023/5/22,44,20,27,5, ,1
2023/5/23,40,18,25,8, ,2
2023/5/24,30,14,37,12, ,3
2023/5/25,26,9,25,6, ,1
2023/5/26,17,14,32,9, ,2
2023/5/27,22,14,40,7, ,3
2023/5/28,29,14,45,5, ,2
2023/5/29,33,17,37,4, ,2
2023/5/30,30,21,22,5, ,2
2023/5/31,29,24,37,7, ,2
2023/6/1,43,29,53,9, ,3
2023/6/2,63,30,55,15, ,3
2023/6/3,60,16,16,2, ,1
2023/6/4,36,4,16,2, ,1
2023/6/5,10,6,16,8, ,2
2023/6/6,13,33,32,8, ,3
2023/6/7,81,21,25,8, ,3
2023/6/8,60,21,22,9, ,3
2023/6/9,65,18,18,11, ,4
2023/6/10,48,15,20,10, ,3
2023/6/11,52,17,43,7, ,3
2023/6/12,47,36,48,10, ,2
2023/6/13,91,24,32,8, ,2
2023/6/14,60,18,38,9, ,3
2023/6/15,48, ,38,11, ,3
2023/6/16,40, ,41,10, ,3
2023/6/17,57, ,38,7, ,3
2023/6/18,45, ,24,3, ,2
2023/6/19,17, ,19,5, ,2
2023/6/20,16, ,20,6, ,2
2023/6/21,16, ,21,4, ,2
2023/6/22,16, ,20,4, ,1
2023/6/23,19, ,23,9, ,2
2023/6/24,27, ,28,3, ,2
2023/6/25,19, ,33,3, ,3
2023/6/26,29, ,31,7, ,3
2023/6/27,35, ,42,8, ,2
2023/6/28,37, ,37,8, ,2
2023/6/29,35, ,37,8, ,6
2023/6/30,51, ,36,13, ,8
2023/7/1,62, ,46,10, ,6
2023/1/3,38,17,2,23, ,6
2023/1/4,53,16,8,17, ,4
2023/1/5,49,6,17,9, ,3
2023/1/6,16,9,15,17, ,3
2023/1/7,35,12,20,11, ,3
2023/1/8,31,11,23,12, ,3
2023/1/9,24,16,16,17, ,3
2023/1/10,43,12,25,14, ,3
2023/1/11,28,12,16,16, ,3
2023/1/12,31,13,24,19, ,4
2023/1/13,37,10,33,9, ,2
2023/1/14,26,7,19,10, ,2
2023/1/15,25,9,29,4, ,2
2023/1/16,12,5,25,14, ,2
2023/1/17,25,14,26,18, ,3
2023/1/18,33,10,15,12, ,3
2023/1/19,27,11,21,16, ,3
2023/1/20,28,7,24,16, ,2
2023/1/21,24,10,26,13, ,3
2023/1/22,27,14,25,8, ,2
2023/1/23,33,6,20,11, ,2
2023/1/24,27,8,21,13, ,3
2023/1/25,32,15,23,17, ,3
2023/1/26,35,7,28,9, ,2
2023/1/27,17,11,24,15, ,3
2023/1/28,22,15,27,15, ,3
2023/1/29,38,16,31,17, ,5
2023/1/30,38,17,19,19, ,4
2023/1/31,44,10,26,14, ,3
2023/2/1,30,10,26,14, ,3
2023/2/2,22,16,30,17, ,3
2023/2/3,39,19,28,9, ,2
2023/2/4,28,12,25,8, ,3
2023/2/5,23,17,30,13, ,3
2023/2/6,32,21,26,19, ,4
2023/2/7,48,18,27,8, ,2
2023/2/8,29,18,25,15, ,3
2023/2/9,48,18,27,24, ,4
2023/2/10,46,14,28,14, ,4
2023/2/11,36,8,29,11, ,3
2023/2/12,17,12,28,17, ,3
2023/2/13,33,22,28,16, ,3
2023/2/14,38,14,28,19, ,4
2023/2/15,35,17,36,18, ,4
2023/2/16,36,26,30,21, ,4
2023/2/17,40,18,28,14, ,3
2023/2/18,40,10,31,10, ,3
2023/2/19,20,14,31,13, ,3
2023/2/20,39,15,33,12, ,2
2023/2/21,35,13,27,10, ,2
2023/2/22,27,11,25,14, ,3
2023/2/23,28,9,27,15, ,3
2023/2/24,29,10,30,13, ,2
2023/2/25,35,11,28,13, ,2
2023/2/26,27,17,22,18, ,4
2023/2/27,66,34,32,11, ,2
2023/2/28,44,16,29,10, ,2
2023/3/1,27,17,29,14, ,2
2023/3/2,29,12,25,13, ,3
2023/3/3,29,10,30,11, ,2
2023/3/4,20,8,34,5, ,2
2023/3/5,17,9,29,12, ,3
2023/3/6,23,11,33,12, ,2
2023/3/7,16,9,32,10, ,2
2023/3/8,17,9,28,5, ,2
2023/3/9,16,11,29,5, ,2
2023/3/10,19,16,31,16, ,2
2023/3/11,30,12,29,7, ,2
2023/3/12,26,12,33,9, ,2
2023/3/13,24,20,27,14, ,2
2023/3/14,36, ,32,7, ,1
2023/3/15,34, ,33,8, ,2
2023/3/16,17, ,34,14, ,3
2023/3/17,23, ,40,18, ,3
2023/3/18,48, ,35,11, ,4
2023/3/19,41, ,35,6, ,2
2023/3/20,18, ,37,10, ,2
2023/3/21,26, ,39,20, ,4
2023/3/22,48, ,36,13, ,3
2023/3/23,46, ,36,14, ,3
2023/3/24,43, ,31,11, ,2
2023/3/25,26, ,30,7, ,2
2023/3/26,27, ,39,6, ,2
2023/3/27,26, ,37,18, ,3
2023/3/28,27, ,30,16, ,2
2023/3/29,28, ,35,16, ,3
2023/3/30,33, ,32,10, ,2
2023/3/31,20, ,35,14, ,3
2023/4/1,28, ,34,16, ,4
2022/10/2,28, ,21,6, ,6
2022/10/3,21, ,21,8, ,3
2022/10/4,19, ,20,5,1,1
2022/10/5,23, ,19,6,1,1
2022/10/6,17, ,22,12,1,2
2022/10/7,26, ,35,12,1,3
2022/10/8,31, ,21,5, ,2
2022/10/9,15, ,30,7, ,2
2022/10/10,24, ,27,16, ,4
2022/10/11,37, ,27,16,1,5
2022/10/12,37, ,43,13, ,4
2022/10/13,43, ,36,9, ,2
2022/10/14,32, ,27,9, ,2
2022/10/15,17, ,32,12,1,3
2022/10/16,32, ,33,13, ,3
2022/10/17,52, ,25,17, ,3
2022/10/18,49, ,29,14, ,3
2022/10/19,37, ,20,10, ,5
2022/10/20,23, ,24,12, ,5
2022/10/21,23, ,30,16, ,3
2022/10/22,32, ,37,15, ,4
2022/10/23,41, ,29,20, ,5
2022/10/24,47, ,23,14, ,2
2022/10/25,28, ,8,15, ,2
2022/10/26,24, ,7,15, ,2
2022/10/27,20, ,24,8, ,2
2022/10/28,23, ,16,13, ,2
2022/10/29,18, ,24,16, ,5
2022/10/30,32, ,22,18, ,6
2022/10/31,39, ,27,14, ,3
2022/11/1,28, ,15,12, ,4
2022/11/2,33, ,27,20, ,5
2022/11/3,42, ,23,18, ,6
2022/11/4,41, ,30,9, ,3
2022/11/5,27, ,28,6, ,2
2022/11/6,25, ,29,2, ,1
2022/11/7,28, ,32,7, ,2
2022/11/8,22, ,26,10, ,1
2022/11/9,18, ,22,13, ,2
2022/11/10,20, ,30,10, ,2
2022/11/11,26, ,27,6, ,2
2022/11/12,23, ,25,3, ,2
2022/11/13,22, ,15,7, ,2
2022/11/14,30, ,24,11, ,2
2022/11/15,11, ,22,18, ,3
2022/11/16,21, ,22,10, ,2
2022/11/17,20, ,24,9, ,2
2022/11/18,24, ,23,12, ,3
2022/11/19,27, ,21,12, ,3
2022/11/20,45, ,25,8, ,3
2022/11/21,33, ,24,12, ,2
2022/11/22,17, ,24,19, ,4
2022/11/23,41, ,27,16, ,3
2022/11/24,54, ,25,14, ,4
2022/11/25,34, ,26,11, ,3
2022/11/26,34, ,24,7, ,2
2022/11/27,14, ,31,11, ,3
2022/11/28,28, ,23,8, ,2
2022/11/29,11, ,17,13, ,2
2022/11/30,20, ,28,12, ,2
2022/12/1,22, ,21,7, ,2
2022/12/2,17, ,20,16, ,4
2022/12/3,25, ,28,9, ,3
2022/12/4,26, ,26,9, ,3
2022/12/5,22, ,22,21, ,5
2022/12/6,36, ,22,18, ,8
2022/12/7,29, ,25,10, ,3
2022/12/8,24, ,26,9, ,2
2022/12/9,15, ,21,13, ,2
2022/12/10,17, ,22,7, ,2
2022/12/11,22, ,22,7, ,2
2022/12/12,29, ,23,15, ,2
2022/12/13,29, ,27,15, ,3
2022/12/14,24, ,25,12, ,2
2022/12/15,34, ,27,11, ,2
2022/12/16,19, ,27,6, ,1
2022/12/17,29, ,23,7, ,2
2022/12/18,12, ,17,7, ,2
2022/12/19,25,8,16,9, ,3
2022/12/20,21,8,18,10, ,2
2022/12/21,18,14,12,22, ,5
2022/12/22,31,21,28,17, ,6
2022/12/23,39,18,31,4, ,2
2022/12/24,39,29,20,7, ,3
2022/12/25,36,19,23,9, ,3
2022/12/26,38,18,24,15, ,4
2022/12/27,33,23,21,19, ,4
2022/12/28,42,25,17,24, ,5
2022/12/29,58,26,21,25, ,5
2022/12/30,62,34,28,22, ,5
2022/12/31,68,13,23,12, ,3
2023/1/1,46,6,23,4, ,2
2023/1/2,16,12,19,17, ,5
2022/7/2,45, ,39,4,1,1
2022/7/3,30, ,29,5,1,2
2022/7/4,29, ,25,6,1,2
2022/7/5,35, ,32,11,1,2
2022/7/6,41, ,30,6,1,2
2022/7/7,24, ,30,9,1,2
2022/7/8,29, ,38,8,1,3
2022/7/9,27, ,24,7,1,2
2022/7/10,31, ,33,4,1,2
2022/7/11,22, ,43,7,1,2
2022/7/12,30, ,41,6,1,2
2022/7/13,30, ,41,7,1,1
2022/7/14,32, ,45,14,1,1
2022/7/15,41, ,36,9,1,1
2022/7/16,32, ,39,5,1,2
2022/7/17,31, ,49,4,1,3
2022/7/18,41, ,33,7,1,2
2022/7/19,35, ,37,5,1,2
2022/7/20,30, ,51,11,1,3
2022/7/21,49, ,44,6,1,3
2022/7/22,52, ,50,8,1,2
2022/7/23,46, ,49,7,1,2
2022/7/24,45, ,64,4,1,2
2022/7/25,48, ,39,5,1,2
2022/7/26,47, ,32,9,1,2
2022/7/27,20, ,36,13,1,2
2022/7/28,23, ,45,10,1,3
2022/7/29,37, ,50,8,1,2
2022/7/30,35, ,29,6,1,2
2022/7/31,24, ,30,5,1,2
2022/8/1,22, ,43,8,1,2
2022/8/2,22, ,45,8,1,3
2022/8/3,33, ,32,7,1,1
2022/8/4,26, ,57,9,1,2
2022/8/5,38, ,43,10,1,3
2022/8/6,38, ,52,6,1,3
2022/8/7,37, ,37,3,1,1
2022/8/8,25, ,42,5,1,2
2022/8/9,28, ,38,7,1,2
2022/8/10,32, ,19,4,1,1
2022/8/11,23, ,27,7,1,2
2022/8/12,30, ,25,9,1,1
2022/8/13,24, ,20,4,1,1
2022/8/14,21, ,29,7,1,3
2022/8/15,22, ,40,9,1,2
2022/8/16,26, ,29,7,1,1
2022/8/17,25, ,24,6,1,1
2022/8/18,34, ,27,6,1,2
2022/8/19,27, ,44,10,1,2
2022/8/20,38, ,61,10,1,3
2022/8/21,50, ,40,5,1,2
2022/8/22,37, ,27,6,1,1
2022/8/23,31, ,23,8,1,1
2022/8/24,16, ,34,15,1,3
2022/8/25,24, ,41,11,1,3
2022/8/26,33, ,46,13,1,3
2022/8/27,39, ,27,5,1,2
2022/8/28,33, ,25,2,1,2
2022/8/29,25, ,40,6,1,2
2022/8/30,33, ,37,5,1,2
2022/8/31,30, ,32,8,1,2
2022/9/1,21, ,27,8,1,2
2022/9/2,23, ,26,5,1,2
2022/9/3,15, ,33,6,1,3
2022/9/4,20, ,41,4,1,3
2022/9/5,20, ,19,8,1,3
2022/9/6,21, ,19,9,1,4
2022/9/7,20, ,20,5,1,2
2022/9/8,19, ,23,8,1, 
2022/9/9,19, ,24,15,1,3
2022/9/10,30, ,26,10,1,3
2022/9/11,41, ,30,9,1,4
2022/9/12,41, ,27,11,1,3
2022/9/13,20, ,27,7,1,3
2022/9/14,20, ,28,7,1,2
2022/9/15,26, ,20,9,1,2
2022/9/16,21, ,25,10,1,2
2022/9/17,15, ,26,5,1,3
2022/9/18,18, ,44,4,1,3
2022/9/19,36, ,21,8,1,3
2022/9/20,35, ,16,7,1,54
2022/9/21,19, ,20,9,1,49
2022/9/22,21, ,27,10,1,3
2022/9/23,23, ,20,6, ,1
2022/9/24,9, ,22,7, ,2
2022/9/25,15, ,32,6, ,3
2022/9/26,25, ,32,7,1,3
2022/9/27,25, ,32,10, ,3
2022/9/28,25, ,20,8, ,2
2022/9/29,17, ,16,8,1,3
2022/9/30,20, ,19,10, ,4
2022/10/1,23, ,18,14,1,5
2022/4/2,21, ,32,8, ,3
2022/4/3,14, ,34,12,1,3
2022/4/4,27, ,31,11, ,2
2022/4/5,20, ,32,15,1,3
2022/4/6,22, ,28,12, ,2
2022/4/7,29, ,33,11, ,1
2022/4/8,35, ,30,12,1,3
2022/4/9,23, ,33,12,1,3
2022/4/10,28, ,25,7, ,2
2022/4/11,15, ,30,9, ,2
2022/4/12,12, ,31,14,1,3
2022/4/13,26, ,39,16,1,3
2022/4/14,26, ,32,8, ,2
2022/4/15,32, ,40,12,1,3
2022/4/16,23, ,41,5,1,2
2022/4/17,24, ,26,6, ,2
2022/4/18,11, ,25,6,1,1
2022/4/19,15, ,27,4,1,2
2022/4/20,24, ,31,7, ,2
2022/4/21,13, ,39,7, ,2
2022/4/22,20, ,37,9, ,2
2022/4/23,19, ,40,13,1,2
2022/4/24,21, ,37,5, ,1
2022/4/25,20, ,33,12,1,2
2022/4/26,28, ,29,12,1,3
2022/4/27,30, ,27,9, ,2
2022/4/28,18, ,36,7, ,2
2022/4/29,13, ,36,9, ,2
2022/4/30,16, ,34,8, ,2
2022/5/1,18, ,39,9,1,3
2022/5/2,24, ,28,8,1,2
2022/5/3,28, ,25,6,1,1
2022/5/4,17, ,18,13,1,2
2022/5/5,29, ,39,12,1,2
2022/5/6,22, ,37,12,1,2
2022/5/7,26, ,36,3,1,1
2022/5/8,31, ,37,3,1,1
2022/5/9,23, ,42,5, ,1
2022/5/10,29, ,41,6,1,1
2022/5/11,31, ,35,7,1,1
2022/5/12,36, ,26,12,1,1
2022/5/13,21, ,19,11,1,1
2022/5/14,32, ,30,3, ,2
2022/5/15,20, ,34,2, ,1
2022/5/16,16, ,36,5,1,1
2022/5/17,29, ,36,4,1,1
2022/5/18,20, ,42,10,1,2
2022/5/19,25, ,33,14,1,2
2022/5/20,27, ,38,8,1,1
2022/5/21,30, ,29,20,1,2
2022/5/22,46, ,40,7,1,2
2022/5/23,52, ,27,6,1,1
2022/5/24,19, ,23,3,1,1
2022/5/25,19, ,26,6,1,1
2022/5/26,19, ,33,7,1,2
2022/5/27,20, ,25,4,1,2
2022/5/28,25, ,23,3,1,2
2022/5/29,22, ,31,4,1,1
2022/5/30,20, ,54,4,1,2
2022/5/31,35, ,35,5,1,1
2022/6/1,36, ,16,7,1,1
2022/6/2,22, ,18,8,1,1
2022/6/3,21, ,22,8,1, 
2022/6/4,22, ,28,4,1,1
2022/6/5,23, ,31,5,1,2
2022/6/6,15, ,42,12,1,2
2022/6/7,26, ,40,7,1,2
2022/6/8,22, ,36,8,14,2
2022/6/9,23, ,35,12,1,2
2022/6/10,30, ,31,7,1,2
2022/6/11,20, ,34,6,1,2
2022/6/12,21, ,44,3,1,2
2022/6/13,33, ,37,9,1,2
2022/6/14,28, ,29,9,1,1
2022/6/15,24, ,28,5,1,1
2022/6/16,17, ,28,7,1,2
2022/6/17,23, ,37,6,1,2
2022/6/18,31, ,30,2,1,1
2022/6/19,12, ,21,4,1,1
2022/6/20,20, ,29,8,1,2
2022/6/21,24, ,31,9,1,1
2022/6/22,26, ,22,3,1, 
2022/6/23,26, ,26,7,1,1
2022/6/24,30, ,41,11,1,2
2022/6/25,31, ,36,8,1,3
2022/6/26,40, ,53,5,1,3
2022/6/27,53, ,29,6,1,1
2022/6/28,25, ,36,9,1,1
2022/6/29,24, ,39,11,1,2
2022/6/30,26, ,32,10,1,2
2022/7/1,26, ,58,9,1,2
2022/1/4,18, ,22,16,1,3
2022/1/5,22, ,16,18,1,4
2022/1/6,31, ,19,13,1,4
2022/1/7,48, ,21,14,1,3
2022/1/8,45, ,24,17,1,4
2022/1/9,49, ,30,11,1,3
2022/1/10,36, ,26,9, ,3
2022/1/11,23, ,25,11, ,3
2022/1/12,53, ,25,19,1,4
2022/1/13,50, ,14,27,1,6
2022/1/14,62, ,28,17,1,4
2022/1/15,51, ,26,7,1,2
2022/1/16,26, ,25,19,1,3
2022/1/17,31, ,32,5,1,2
2022/1/18,37, ,26,10,1,2
2022/1/19,19, ,28,14,1,3
2022/1/20,29, ,27,16,1,3
2022/1/21,45, ,26,16,1,2
2022/1/22,30, ,25,19,1,3
2022/1/23,44, ,24,17,1,4
2022/1/24,67, ,20,18,1,3
2022/1/25,60, ,19,19,1,4
2022/1/26,70, ,28,15,1,3
2022/1/27,29, ,23,23,1,4
2022/1/28,40, ,19,21,2,4
2022/1/29,60, ,27,8,1,2
2022/1/30,36, ,28,14,1,3
2022/1/31,30, ,24,33,1,6
2022/2/1,50, ,13,38,2,6
2022/2/2,55, ,31,34,1,7
2022/2/3,68, ,30,24,1,5
2022/2/4,57, ,23,15,1,3
2022/2/5,26, ,29,9, ,2
2022/2/6,32, ,26,13,1,3
2022/2/7,39, ,27,39,2,7
2022/2/8,51, ,24,17,1,3
2022/2/9,34, ,24,11,1,3
2022/2/10,35, ,26,23,1,4
2022/2/11,40, ,32,24,1,4
2022/2/12,34, ,33,8,1,2
2022/2/13,32, ,21,9,1,2
2022/2/14,33, ,25,13,1,3
2022/2/15,41, ,24,19,1,4
2022/2/16,46, ,31,21,1,4
2022/2/17,40, ,31,8,1,2
2022/2/18,31, ,30,6,1,2
2022/2/19,16, ,27,10,1,3
2022/2/20,29, ,27,8,1,2
2022/2/21,29, ,25,14,1,3
2022/2/22,39, ,33,25,1,5
2022/2/23,56, ,27,8, ,2
2022/2/24,31, ,23,14,1,2
2022/2/25,21, ,22,13, ,2
2022/2/26,27, ,29,18,1,4
2022/2/27,39, ,34,12, ,3
2022/2/28,45, ,28,14,1,2
2022/3/1,44, ,29,24,1,5
2022/3/2,43, ,31,17,1,3
2022/3/3,41, ,28,13,1,3
2022/3/4,33, ,28,13, ,2
2022/3/5,24, ,33,12,1,2
2022/3/6,35, ,32,9,1,2
2022/3/7,53, ,25,11,1,3
2022/3/8,48, ,30,9, ,2
2022/3/9,11, ,20,24,1,3
2022/3/10,28, ,30,19,1,4
2022/3/11,50, ,32,18,1,4
2022/3/12,58, ,28,13,1,3
2022/3/13,29, ,31,6, ,2
2022/3/14,29, ,32,15,1,3
2022/3/15,41, ,32,13,1,3
2022/3/16,42, ,33,14, ,2
2022/3/17,49, ,22,26, ,3
2022/3/18,55, ,35,20,1,4
2022/3/19,59, ,22,16,1,3
2022/3/20,46, ,23,6,1,3
2022/3/21,19, ,29,8,1,2
2022/3/22,13, ,31,8, ,2
2022/3/23,13, ,25,9, ,2
2022/3/24,14, ,25,7, ,2
2022/3/25,14, ,28,12,1,3
2022/3/26,16, ,25,7,1,3
2022/3/27,19, ,21,4, ,2
2022/3/28,12, ,23,6,1,2
2022/3/29,14, ,25,7,1,2
2022/3/30,14, ,30,11, ,3
2022/3/31,15, ,35,10, ,3
2022/4/1,44, ,26,10, ,3
2021/10/2,26, ,29,7, ,4
2021/10/3,29, ,17,8, ,3
2021/10/4,26, ,18,5, ,2
2021/10/5,20, ,16,8, ,3
2021/10/6,13, ,15,15, ,6
2021/10/7,17, ,19,15, ,6
2021/10/8,18, ,22,8, ,3
2021/10/9,29, ,23,1, ,2
2021/10/10,26, ,26,2, ,1
2021/10/11,16, ,23,7, ,2
2021/10/12,16, ,27,15, ,5
2021/10/13,28, ,32,12, ,4
2021/10/14,35, ,25,13, ,4
2021/10/15,35, ,24,10, ,3
2021/10/16,40, ,33,3, ,3
2021/10/17,23, ,22,3, ,3
2021/10/18,12, ,18,6, ,3
2021/10/19,17, ,22,6, ,3
2021/10/20,18, ,27,14, ,4
2021/10/21,36, ,40,13, ,3
2021/10/22,36, ,34,8, ,3
2021/10/23,35, ,18,6, ,3
2021/10/24,15, ,18,8, ,3
2021/10/25,24, ,18,9, ,2
2021/10/26,20, ,25,4, ,1
2021/10/27,14, ,21,2, ,1
2021/10/28,18, ,21,10, ,3
2021/10/29,29, ,25,9, ,2
2021/10/30,33, ,26,3, ,1
2021/10/31,17, ,22,4, ,3
2021/11/1,16, ,22,8, ,2
2021/11/2,19, ,22,13,1,4
2021/11/3,22, ,19,10, ,2
