longitude,latitude,ZipCode,Time,CO,NO2,O3,PM10,PM2.5,SO2,aqi,category
-71.12889,42.35765,02134,2023-10-27T08:00:00Z,224.78,25.4,30.12,37.46,15.79,0.21,53,Moderate air quality
-71.12889,42.35765,02134,2023-10-27T12:00:00Z,318.78,28.77,27.71,36.66,15.45,0.21,55,Moderate air quality
-71.12889,42.35765,02134,2023-10-27T16:00:00Z,418.22,42.39,11.63,48.35,13.92,0.4,56,Moderate air quality
-71.12889,42.35765,02134,2023-10-27T20:00:00Z,311.49,36.24,40.49,36.75,15.31,0.21,56,Moderate air quality
-71.12889,42.35765,02134,2023-10-28T00:00:00Z,318.44,43.45,44.13,29.86,15.59,0.21,57,Moderate air quality
-71.12889,42.35765,02134,2023-10-28T04:00:00Z,330.38,27.28,24.84,31.79,15.63,0.21,57,Moderate air quality
-71.12889,42.35765,02134,2023-10-28T08:00:00Z,219.2,29.99,24.17,42.45,11.74,0.21,56,Moderate air quality
-71.12889,42.35765,02134,2023-10-28T12:00:00Z,317.93,23.31,15.58,34.72,12.94,0.21,55,Moderate air quality
-71.12889,42.35765,02134,2023-10-28T16:00:00Z,218.55,25.94,25.23,35.48,11.08,0.21,54,Moderate air quality
-71.12889,42.35765,02134,2023-10-28T20:00:00Z,112.38,22.78,45.07,25.95,11.33,0.21,53,Moderate air quality
-71.12889,42.35765,02134,2023-10-29T00:00:00Z,118.68,23.9,35.34,32.23,11.59,0.11,52,Moderate air quality
-71.12889,42.35765,02134,2023-10-29T04:00:00Z,112.58,22.02,33.2,29.59,9.21,0.11,50,Good air quality
-71.12889,42.35765,02134,2023-10-29T08:00:00Z,112.61,13.28,22.02,24.44,5.49,0.11,46,Good air quality
-71.12889,42.35765,02134,2023-10-29T12:00:00Z,106.79,8.01,16.06,24.83,7.5,0.11,42,Good air quality
-71.12889,42.35765,02134,2023-10-29T16:00:00Z,106.96,18.82,11.32,20.63,7,0.11,39,Good air quality
-71.12889,42.35765,02134,2023-10-29T20:00:00Z,206.37,22.37,9.57,24.41,7,0.21,35,Good air quality
-71.12889,42.35765,02134,2023-10-30T00:00:00Z,107.89,18.73,15.27,16.37,8.18,0.11,31,Good air quality
-71.12889,42.35765,02134,2023-10-30T04:00:00Z,106.66,16.56,20.88,25.43,7.53,0.11,30,Good air quality
-71.12889,42.35765,02134,2023-10-30T08:00:00Z,106.63,10.97,27.15,14.22,5.93,0.11,28,Good air quality
-71.12889,42.35765,02134,2023-10-30T12:00:00Z,106.63,18.88,29.15,27.58,6.68,0.11,28,Good air quality
-71.12889,42.35765,02134,2023-10-30T16:00:00Z,201.26,29.24,20.49,26.87,5.14,0.21,27,Good air quality
-71.12889,42.35765,02134,2023-10-30T20:00:00Z,114.27,23.98,19.56,22.98,6.83,0.21,27,Good air quality
-71.12889,42.35765,02134,2023-10-31T00:00:00Z,207.15,18.64,13.42,22.4,7.46,0.11,26,Good air quality
-71.12889,42.35765,02134,2023-10-31T04:00:00Z,211.66,16.14,6.6,30.67,8.66,0.21,26,Good air quality
-71.12889,42.35765,02134,2023-10-31T08:00:00Z,106.6,12.71,26.98,9.8,4.07,0.11,26,Good air quality
-71.12889,42.35765,02134,2023-10-31T12:00:00Z,118.37,16.81,17.38,26.5,6.97,0.11,26,Good air quality
-71.12889,42.35765,02134,2023-10-31T16:00:00Z,114.37,23.26,23.19,23.11,7.56,0.3,28,Good air quality
-71.12889,42.35765,02134,2023-10-31T20:00:00Z,112.62,19.78,32.08,27.77,10.52,0.11,29,Good air quality
-71.12889,42.35765,02134,2023-11-01T00:00:00Z,206.52,27.89,24.17,26.79,10.65,0.11,32,Good air quality
-71.12889,42.35765,02134,2023-11-01T08:00:00Z,206.43,27.89,13.45,15.94,8.21,0.21,36,Good air quality
-71.12889,42.35765,02134,2023-11-01T12:00:00Z,206.52,22.8,13.52,24.33,7.17,0.2,38,Good air quality
-71.12889,42.35765,02134,2023-11-01T16:00:00Z,213.61,31.78,13.56,22.42,11.23,0.3,39,Good air quality
-71.12889,42.35765,02134,2023-11-01T20:00:00Z,112.34,27.86,25.54,23.75,11.91,0.11,40,Good air quality
-71.12889,42.35765,02134,2023-11-02T00:00:00Z,113.68,26.54,24.54,24.62,10.49,0.21,40,Good air quality
-71.12889,42.35765,02134,2023-11-02T04:00:00Z,211.92,21.19,14.89,22.9,8.32,0.11,40,Good air quality
-71.12889,42.35765,02134,2023-11-02T08:00:00Z,112.52,9.79,16.66,15.06,5.33,0.11,38,Good air quality
-71.12889,42.35765,02134,2023-11-02T12:00:00Z,119.25,19.04,19.25,31.44,9.04,0.11,38,Good air quality
-71.12889,42.35765,02134,2023-11-02T16:00:00Z,213,29.19,19.35,25.61,11.31,0.21,39,Good air quality
-71.12889,42.35765,02134,2023-11-02T20:00:00Z,205.52,24.88,29.22,25.11,10.88,0.11,39,Good air quality
-71.12889,42.35765,02134,2023-11-03T00:00:00Z,299.67,38.17,24.62,25.36,10.29,0.11,41,Good air quality
-71.12889,42.35765,02134,2023-11-03T04:00:00Z,324.77,26.09,4.99,25.97,10.74,0.3,42,Good air quality
-71.12889,42.35765,02134,2023-11-03T08:00:00Z,219.42,29.46,12.82,11.52,5.78,0.21,43,Good air quality
-71.12889,42.35765,02134,2023-11-03T12:00:00Z,219.28,22.79,9.83,22.45,10.99,0.3,44,Good air quality
-71.12889,42.35765,02134,2023-11-03T16:00:00Z,324.11,38.22,15.2,34.4,12.22,0.41,45,Good air quality
-71.12889,42.35765,02134,2023-11-03T20:00:00Z,206.62,31.98,35.91,32.31,12,0.3,46,Good air quality
-71.12889,42.35765,02134,2023-11-04T00:00:00Z,299.63,40.92,32.24,29.58,12.48,0.21,47,Good air quality
-71.12889,42.35765,02134,2023-11-04T04:00:00Z,211.74,19.34,32.31,31.26,9.26,0.11,46,Good air quality
-71.12889,42.35765,02134,2023-11-04T08:00:00Z,113.1,19.21,35.03,16.12,6.14,0.11,44,Good air quality
-71.12889,42.35765,02134,2023-11-04T12:00:00Z,113.18,14.71,29.22,26.96,9.57,0.01,43,Good air quality
-71.12889,42.35765,02134,2023-11-04T16:00:00Z,213.08,33.21,25.27,30.85,9.33,0.21,41,Good air quality
-71.12889,42.35765,02134,2023-11-04T20:00:00Z,212.48,29.96,34.92,39.85,13.07,0.11,40,Good air quality
-71.12889,42.35765,02134,2023-11-05T00:00:00Z,492.09,43.97,13.5,33.84,16.82,0.21,41,Good air quality
-71.12889,42.35765,02134,2023-11-05T04:00:00Z,709.46,30.78,3.59,36.8,20.01,0.41,48,Good air quality
-71.12889,42.35765,02134,2023-11-05T08:00:00Z,114.46,8.13,32.29,24.66,16.06,0.1,54,Moderate air quality
-71.12889,42.35765,02134,2023-11-05T12:00:00Z,312.65,14.12,10.04,19.57,15.22,0.11,58,Moderate air quality
-71.12889,42.35765,02134,2023-11-05T16:00:00Z,324.39,34.47,16.48,37.84,15.87,0.31,61,Moderate air quality
-71.12889,42.35765,02134,2023-11-05T20:00:00Z,113.69,18.93,38.46,32.7,15.4,0.31,62,Moderate air quality
-71.12889,42.35765,02134,2023-11-06T00:00:00Z,212.37,30.92,37.26,25.24,15.84,0.11,62,Moderate air quality
-71.12889,42.35765,02134,2023-11-06T04:00:00Z,231.22,23.35,20.57,39.78,14.44,0.21,61,Moderate air quality
-71.12889,42.35765,02134,2023-11-06T08:00:00Z,317.55,23.3,10.49,25.98,9.94,0.11,57,Moderate air quality
-71.12889,42.35765,02134,2023-11-06T12:00:00Z,112.52,17.75,22.25,18.75,10.66,0.11,54,Moderate air quality
-71.12889,42.35765,02134,2023-11-06T16:00:00Z,300.57,24.74,10.78,26.68,10.77,0.21,52,Moderate air quality
-71.12889,42.35765,02134,2023-11-06T20:00:00Z,106.92,19.36,28.35,28.42,7.62,0.21,48,Good air quality
-71.12889,42.35765,02134,2023-11-07T00:00:00Z,201.22,31.77,26.27,26.52,11.62,0.4,45,Good air quality
-71.12889,42.35765,02134,2023-11-07T04:00:00Z,206.46,19.61,16.66,26.93,11.41,0.4,41,Good air quality
-71.12889,42.35765,02134,2023-11-07T08:00:00Z,200.4,13.9,25.17,18.15,11.42,0.3,42,Good air quality
-71.12889,42.35765,02134,2023-11-07T12:00:00Z,113.15,23.25,37.47,34.85,11.22,0.4,43,Good air quality
-71.12889,42.35765,02134,2023-11-07T16:00:00Z,212.38,37.44,41.81,32.23,19.18,0.4,48,Good air quality
-71.12889,42.35765,02134,2023-11-07T20:00:00Z,212.41,27.96,45.06,39.09,18.05,0.2,53,Moderate air quality
-71.12889,42.35765,02134,2023-11-08T00:00:00Z,213.24,31.71,35.34,33.76,16.44,0.21,56,Moderate air quality
-71.12889,42.35765,02134,2023-11-08T04:00:00Z,205.33,15.21,25.41,25.41,6.88,0.21,55,Moderate air quality
-71.12889,42.35765,02134,2023-11-08T08:00:00Z,205.91,21.16,24.16,17.98,3.2,0.21,53,Moderate air quality
-71.12889,42.35765,02134,2023-11-08T12:00:00Z,112.52,11.91,22.4,18.19,5.4,0.11,51,Moderate air quality
-71.12889,42.35765,02134,2023-11-08T16:00:00Z,205.98,19.97,30.27,25.1,8.26,0.11,46,Good air quality
-71.12889,42.35765,02134,2023-11-08T20:00:00Z,205.33,17.91,28.4,25.13,8.01,0.11,38,Good air quality
-71.12889,42.35765,02134,2023-11-09T00:00:00Z,211.86,31.24,19.06,31.14,9.39,0.3,32,Good air quality
-71.12889,42.35765,02134,2023-11-09T04:00:00Z,211.21,17.33,19.82,25,8.32,0.11,31,Good air quality
-71.12889,42.35765,02134,2023-11-09T08:00:00Z,199.44,7.06,22.52,11.8,8.42,0.11,32,Good air quality
-71.12889,42.35765,02134,2023-11-09T12:00:00Z,205.29,19.53,13.88,13.82,5.14,0.11,33,Good air quality
-71.12889,42.35765,02134,2023-11-09T16:00:00Z,310.97,38.32,4.54,24.03,9.87,0.5,36,Good air quality
-71.12889,42.35765,02134,2023-11-09T20:00:00Z,300.11,31.67,8.43,25.88,9.44,0.31,35,Good air quality
-71.12889,42.35765,02134,2023-11-10T00:00:00Z,324.79,33.69,1.8,32.45,19.19,0.6,40,Good air quality
-71.12889,42.35765,02134,2023-11-10T04:00:00Z,319.69,21.97,1.3,33.11,15.97,0.31,45,Good air quality
-71.12889,42.35765,02134,2023-11-10T08:00:00Z,298.97,11.36,18.11,32.41,11.61,0.11,49,Good air quality
-71.12889,42.35765,02134,2023-11-10T12:00:00Z,306.22,22.15,5.43,28.93,10.67,0.11,51,Moderate air quality
-71.12889,42.35765,02134,2023-11-10T16:00:00Z,221,30.86,12.27,33.19,10.79,0.4,52,Moderate air quality
-71.12889,42.35765,02134,2023-11-10T20:00:00Z,211.73,34.53,20.59,27.67,11.52,0.3,52,Moderate air quality
-71.12889,42.35765,02134,2023-11-11T00:00:00Z,311.18,26.79,21.31,26.02,10.26,0.2,49,Good air quality
-71.12889,42.35765,02134,2023-11-11T04:00:00Z,312.46,21.88,14.43,27.41,10.06,0.2,45,Good air quality
-71.12889,42.35765,02134,2023-11-11T08:00:00Z,218.81,23.02,8.64,37.14,10.46,0.21,43,Good air quality
-71.12889,42.35765,02134,2023-11-11T12:00:00Z,211.8,19.23,19.14,29.97,9.94,0.11,42,Good air quality
-71.12889,42.35765,02134,2023-11-11T16:00:00Z,212.34,17.27,14.66,25.66,6.94,0.21,41,Good air quality
-71.12889,42.35765,02134,2023-11-11T20:00:00Z,205.36,23.29,29.32,26.58,9.98,0.11,40,Good air quality
-71.12889,42.35765,02134,2023-11-12T00:00:00Z,206.04,21.31,29.41,23,9.31,0.1,40,Good air quality
-71.12889,42.35765,02134,2023-11-12T04:00:00Z,207.14,19.73,27.2,28.3,8.97,0.11,39,Good air quality
-71.12889,42.35765,02134,2023-11-12T08:00:00Z,212.93,18.83,20.63,29,9.55,0.2,38,Good air quality
-71.12889,42.35765,02134,2023-11-12T12:00:00Z,206.46,8.97,23.65,7.09,3.86,0.1,37,Good air quality
-71.12889,42.35765,02134,2023-11-12T16:00:00Z,211.18,14.92,23.88,28.07,10.26,0.11,37,Good air quality
-71.12889,42.35765,02134,2023-11-12T20:00:00Z,205.36,17.66,31.17,26.47,11.99,0.1,38,Good air quality
-71.12889,42.35765,02134,2023-11-13T00:00:00Z,206.36,17.56,30.31,20.3,12.65,0.1,40,Good air quality
-71.12889,42.35765,02134,2023-11-13T04:00:00Z,498.61,23.74,6.51,29.22,18.5,0.21,45,Good air quality
-71.12889,42.35765,02134,2023-11-13T08:00:00Z,392.65,10.68,24.79,29.61,13.58,0.1,49,Good air quality
-71.12889,42.35765,02134,2023-11-13T12:00:00Z,311.17,21.43,5.91,19.33,10.95,0.11,52,Moderate air quality
-71.12889,42.35765,02134,2023-11-13T16:00:00Z,305.78,36.81,16.22,28.21,11.87,0.3,53,Moderate air quality
-71.12889,42.35765,02134,2023-11-13T20:00:00Z,304.71,19.95,25.5,26.96,11.12,0.2,53,Moderate air quality
-71.12889,42.35765,02134,2023-11-14T00:00:00Z,305.74,32.92,16.7,27.41,13.21,0.2,53,Moderate air quality
-71.12889,42.35765,02134,2023-11-14T04:00:00Z,211.86,19.21,27.28,23.73,9.72,0.11,49,Good air quality
-71.12889,42.35765,02134,2023-11-14T08:00:00Z,304.5,24.24,14.14,18.49,8.87,0.11,45,Good air quality
-71.12889,42.35765,02134,2023-11-14T12:00:00Z,212.57,24.14,11.56,28.27,12.35,0.11,44,Good air quality
-71.12889,42.35765,02134,2023-11-14T16:00:00Z,312.73,39.62,12.47,29.05,15.56,0.4,46,Good air quality
-71.12889,42.35765,02134,2023-11-14T20:00:00Z,304.57,18.35,24.45,25.75,12.37,0.21,48,Good air quality
-71.12889,42.35765,02134,2023-11-15T00:00:00Z,305.8,28.17,22.51,24.23,10.72,0.11,47,Good air quality
-71.12889,42.35765,02134,2023-11-15T04:00:00Z,305.8,21.64,21.58,27.48,10.33,0.11,48,Good air quality
-71.12889,42.35765,02134,2023-11-15T08:00:00Z,211.82,15.04,13.65,12.26,8.32,0.11,48,Good air quality
-71.12889,42.35765,02134,2023-11-15T12:00:00Z,410.61,30.84,0.93,34.55,10.19,0.6,49,Good air quality
-71.12889,42.35765,02134,2023-11-15T16:00:00Z,424.01,40.32,5.37,21.96,10.89,0.9,47,Good air quality
-71.12889,42.35765,02134,2023-11-15T20:00:00Z,310.42,23.34,18.93,23.4,10.85,0.21,44,Good air quality
-71.12889,42.35765,02134,2023-11-16T00:00:00Z,305.8,29,14.46,25.49,12.04,0.21,45,Good air quality
-71.12889,42.35765,02134,2023-11-16T04:00:00Z,212.45,19.37,15.05,29.26,9.28,0.2,44,Good air quality
-71.12889,42.35765,02134,2023-11-16T08:00:00Z,212.9,12.94,13,12.05,5.08,0.2,43,Good air quality
-71.12889,42.35765,02134,2023-11-16T12:00:00Z,212.31,24.85,9.07,27.66,13.01,0.2,43,Good air quality
-71.12889,42.35765,02134,2023-11-16T16:00:00Z,406.66,41.56,11.1,29.04,17.3,0.41,45,Good air quality
-71.12889,42.35765,02134,2023-11-16T20:00:00Z,305.54,30.24,26.29,37.23,17.01,0.41,50,Good air quality
-71.12889,42.35765,02134,2023-11-17T00:00:00Z,506.89,36.5,16.9,42.42,19.99,0.31,53,Moderate air quality
-71.12889,42.35765,02134,2023-11-17T04:00:00Z,828.05,33.99,2.28,49.62,19.34,1.58,56,Moderate air quality
-71.12889,42.35765,02134,2023-11-17T08:00:00Z,991.9,24.26,1.82,36.28,21.76,1.01,60,Moderate air quality
-71.12889,42.35765,02134,2023-11-17T12:00:00Z,330.73,25.83,12.24,47.73,25.95,0.21,65,Moderate air quality
-71.12889,42.35765,02134,2023-11-17T16:00:00Z,313,37.11,22.37,45.23,16.86,0.3,68,Moderate air quality
-71.12889,42.35765,02134,2023-11-17T20:00:00Z,207.55,25.22,39.92,52.9,9.8,0.2,66,Moderate air quality
-71.15507,42.34878,02135,2023-10-19T04:00:00Z,315.82,28.13,6.07,25.43,8.46,0.32,34,Good air quality
-71.15507,42.34878,02135,2023-10-19T08:00:00Z,216.84,21.76,9.62,19.3,4.81,0.22,35,Good air quality
-71.15507,42.34878,02135,2023-10-19T12:00:00Z,308.59,22.88,8.86,23.7,5.88,0.13,34,Good air quality
-71.15507,42.34878,02135,2023-10-19T16:00:00Z,213.78,27.27,19.94,44.43,8.32,0.32,33,Good air quality
-71.15507,42.34878,02135,2023-10-19T20:00:00Z,205.53,25.7,32.09,35.62,7.77,0.3,32,Good air quality
-71.15507,42.34878,02135,2023-10-20T00:00:00Z,207.03,26.65,29.87,22.46,7.55,0.13,30,Good air quality
-71.15507,42.34878,02135,2023-10-20T04:00:00Z,211.43,18.59,17.5,16.94,5.58,0.23,28,Good air quality
-71.15507,42.34878,02135,2023-10-20T08:00:00Z,209.14,21.88,13.37,12.79,5.5,0.23,27,Good air quality
-71.15507,42.34878,02135,2023-10-20T12:00:00Z,308.2,26.98,8.21,25.91,5.27,0.25,26,Good air quality
-71.15507,42.34878,02135,2023-10-20T16:00:00Z,299.52,32.61,8.09,23.36,6.91,0.47,30,Good air quality
-71.15507,42.34878,02135,2023-10-20T20:00:00Z,120.09,22.2,27.23,24.57,7.68,0.49,26,Good air quality
-71.15507,42.34878,02135,2023-10-21T00:00:00Z,206.42,30.76,22.44,30.79,6.53,0.23,29,Good air quality
-71.15507,42.34878,02135,2023-10-21T04:00:00Z,108.54,26.37,23.32,32.04,6.8,0.33,26,Good air quality
-71.15507,42.34878,02135,2023-10-21T08:00:00Z,107.81,19.64,25.4,20.73,2.88,0.23,26,Good air quality
-71.15507,42.34878,02135,2023-10-21T12:00:00Z,119.63,15.82,20.76,14.15,5.62,0.23,25,Good air quality
-71.15507,42.34878,02135,2023-10-21T16:00:00Z,108.54,31.69,23.72,37.37,5.2,0.34,29,Good air quality
-71.15507,42.34878,02135,2023-10-21T20:00:00Z,109.69,26.47,23.85,23.9,6.4,0.35,24,Good air quality
-71.15507,42.34878,02135,2023-10-22T00:00:00Z,111.85,19.48,33.66,22.18,5.47,0.25,27,Good air quality
-71.15507,42.34878,02135,2023-10-22T04:00:00Z,112.99,18.89,27.35,19.85,3.9,0.33,27,Good air quality
-71.15507,42.34878,02135,2023-10-22T08:00:00Z,112.65,12.89,18.26,18.48,3.05,0.25,22,Good air quality
-71.15507,42.34878,02135,2023-10-22T12:00:00Z,107.38,10,14.29,26.56,5.08,0.16,22,Good air quality
-71.15507,42.34878,02135,2023-10-22T16:00:00Z,106.77,17.03,16.31,30.94,5.02,0.25,21,Good air quality
-71.15507,42.34878,02135,2023-10-22T20:00:00Z,106.77,16.43,18.28,20.53,7.26,0.23,21,Good air quality
-71.15507,42.34878,02135,2023-10-23T00:00:00Z,112.03,16.79,13.81,27.66,6.66,0.25,21,Good air quality
-71.15507,42.34878,02135,2023-10-23T04:00:00Z,112.03,14.16,11.74,20.1,6.17,0.24,22,Good air quality
-71.15507,42.34878,02135,2023-10-23T08:00:00Z,106.59,9.45,12.28,18.08,2.62,0.23,22,Good air quality
-71.15507,42.34878,02135,2023-10-23T12:00:00Z,112.82,15.63,9.3,21.82,5.8,0.13,23,Good air quality
-71.15507,42.34878,02135,2023-10-23T16:00:00Z,205.65,20.35,10.27,26.32,6.55,0.25,24,Good air quality
-71.15507,42.34878,02135,2023-10-23T20:00:00Z,112.82,19.41,15.45,33.71,7.84,0.23,24,Good air quality
-71.15507,42.34878,02135,2023-10-24T00:00:00Z,108.7,17.46,14.34,21.28,8.65,0.13,25,Good air quality
-71.15507,42.34878,02135,2023-10-24T04:00:00Z,107.55,17.83,17.11,33.47,6.05,0.13,25,Good air quality
-71.15507,42.34878,02135,2023-10-24T08:00:00Z,108.54,8.69,13,5.99,1.19,0.13,25,Good air quality
-71.15507,42.34878,02135,2023-10-24T12:00:00Z,223.8,26.19,3.2,18.59,6.27,0.33,25,Good air quality
-71.15507,42.34878,02135,2023-10-24T16:00:00Z,408.93,29.01,5.65,25.63,7.02,0.89,27,Good air quality
-71.15507,42.34878,02135,2023-10-24T20:00:00Z,205.48,24.92,21.04,26.25,8.64,0.13,26,Good air quality
-71.15507,42.34878,02135,2023-10-25T00:00:00Z,303.8,39.32,16.59,24.13,8.06,0.22,37,Good air quality
-71.15507,42.34878,02135,2023-10-25T04:00:00Z,217.46,21.23,14.96,23.32,6.49,0.23,26,Good air quality
-71.15507,42.34878,02135,2023-10-25T08:00:00Z,113.75,11.87,28.73,8.15,2.52,0.13,28,Good air quality
-71.15507,42.34878,02135,2023-10-25T12:00:00Z,212.88,18.78,22.04,24.55,8.53,0.13,28,Good air quality
-71.15507,42.34878,02135,2023-10-25T16:00:00Z,304.79,31.01,18.48,35.6,9.05,0.23,30,Good air quality
-71.15507,42.34878,02135,2023-10-25T20:00:00Z,206.75,30.8,12.03,35.86,10.96,0.23,32,Good air quality
-71.15507,42.34878,02135,2023-10-26T00:00:00Z,312.2,26.37,8.47,44.08,10.86,0.25,34,Good air quality
-71.15507,42.34878,02135,2023-10-26T04:00:00Z,219.35,21.08,4.75,25.26,10.38,0.25,36,Good air quality
-71.15507,42.34878,02135,2023-10-26T08:00:00Z,207.06,7.32,29.32,14.2,7.2,0.23,39,Good air quality
-71.15507,42.34878,02135,2023-10-26T12:00:00Z,219.99,29.78,16.99,29.08,11.82,0.23,42,Good air quality
-71.15507,42.34878,02135,2023-10-26T16:00:00Z,383.04,36.08,19.54,43.49,11.42,0.77,44,Good air quality
-71.15507,42.34878,02135,2023-10-26T20:00:00Z,277.03,23.39,47.03,34.87,12.5,0.68,45,Good air quality
-71.15507,42.34878,02135,2023-10-27T00:00:00Z,410.15,31.48,33.71,35.92,13.68,0.15,46,Good air quality
-71.15507,42.34878,02135,2023-10-27T04:00:00Z,434.54,29.68,15.82,29.96,15.38,0.32,49,Good air quality
