Name,TotChild,OlderAdult,MedIllnes,POC2,LEP,Low_to_No,TotDis,MBTA_Stops_Count,AQI_OZONE,AQI_PM10,AQI_PM2.5,CategoryName_OZONE,CategoryName_PM10,CategoryName_PM2.5,ZipCode,CASTHMA_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,STROKE_CrudePrev,HIGHCHOL_CrudePrev,GHLTH_CrudePrev,PHLTH_CrudePrev,MHLTH_CrudePrev,CSMOKING_CrudePrev,BINGE_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev
South Boston,3455,2395,8925.16,4258,7886,5491,2143,0,32.302325581395344,14.156000000000002,33.43157296990346,Good,Good,Good,2127,10.7,4.1,3.5,1.8,26.4,10.1,7.3,15.3,10.1,22.8,17.3,20.9,29.0
South Boston Waterfront,392,456,2514.9300000000003,598,1057,601,357,12,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2127,10.7,4.1,3.5,1.8,26.4,10.1,7.3,15.3,10.1,22.8,17.3,20.9,29.0
Hyde Park,3256,2219,6412.46,11132,4902,2683,2117,0,35.027517564402814,,,Good,,,2136,12.0,6.1,5.3,3.3,31.2,16.6,10.5,16.0,14.0,17.1,26.0,28.5,35.7
West Roxbury,4758,3632,9078.9,9121,7254,3622,2580,0,35.027517564402814,,,Good,,,2136,12.0,6.1,5.3,3.3,31.2,16.6,10.5,16.0,14.0,17.1,26.0,28.5,35.7
Jamaica Plain,7300,4381,16600.57,22247,17366,12985,4570,7,32.29620629647207,14.156000000000002,33.42869161280196,Good,Good,Good,2121,14.3,7.7,5.8,4.3,30.2,25.2,13.7,20.3,19.8,14.6,35.9,35.2,41.6
Leather District,465,812,2397.59,2378,2065,1253,457,9,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2110,10.0,5.8,6.2,2.8,36.4,10.9,8.7,12.4,9.4,17.7,17.8,21.7,27.8
North End,1028,2122,7217.86,2957,5277,3155,1338,7,32.302325581395344,14.156,33.43157296990346,Good,Good,Good,2113,10.3,2.5,2.4,1.2,21.5,5.8,4.9,14.9,6.3,25.6,11.6,17.1,26.1
Roslindale,13324,8231,24029.32,33106,19480,11249,7286,1,34.723261482578984,14.156,33.4253986332574,Good,,,2131,11.0,5.0,4.5,2.6,30.6,13.1,9.0,14.6,11.4,18.8,21.7,25.0,32.0
Roxbury,19517,6675,28235.1,67217,39947,33272,12611,10,32.302325581395365,14.156,33.43157296990345,Good,Good,Good,2118,10.9,4.8,4.1,2.4,28.4,14.5,9.0,16.5,13.4,19.5,23.4,24.5,33.1
West End,467,772,2807.82,1400,2184,1412,472,1,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2114,9.9,2.8,2.8,1.4,24.1,6.8,5.4,13.8,6.8,23.3,13.1,18.2,27.5
