Number,Name,Latitude,Longitude,District,Public,Total docks,Deployment Year
N32013,Newton Library,42.33620337,-71.20779455,Newton,Yes,13,2021
W32007,Nichols Ave. at Watertown Greenway,42.36762049,-71.15656637,Watertown,Yes,12,2021
N32002,Nonantum Library,42.36068456,-71.201462,Newton,Yes,15,2020
T32015,North St at Liberty Hill Ave,42.52989965,-70.90614259,Salem,Yes,11,2022
C32078,Northbourne Rd at Hyde Park Ave,42.29118035,-71.11773666,Boston,Yes,19,2019
B32012,Northeastern University - North Parking Lot,42.341814,-71.090179,Boston,Yes,15,2011
G32002,Northern Strand at Main St,42.42386,-71.067793,Malden,Yes,11,2022
D32031,Oak Square - 615 Washington St,42.35057,-71.166491,Boston,Yes,13,2016
M32076,Old Morse Park at Putnam Ave,42.35766248,-71.10841334,Cambridge,Yes,15,2021
B32061,One Beacon St,42.35847764,-71.0613513,Boston,Yes,16,2021
B32036,One Brigham Circle,42.3339227,-71.10446509,Boston,Yes,15,2018
M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,Cambridge,Yes,23,2012
M32002,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Cambridge,Yes,19,2012
M32053,One Memorial Drive,42.36161932,-71.08043551,Cambridge,Yes,19,2017
A32035,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,Boston,Yes,19,2016
R32002,Orr Sq (Shirley Ave),42.40715656,-70.9927243,Revere,Yes,11,2021
S32009,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,Somerville,Yes,15,2013
A32012,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Boston,Yes,27,2011
A32008,Park Dr at Buswell St,42.347241,-71.105301,Boston,Yes,15,2012
D32042,Park Plaza at Charles St S.,42.35182807,-71.06781138,Boston,Yes,19,2018
C32039,Park St at Norwell St,42.29442579,-71.07821761,Boston,Yes,15,2018
S32034,Perry Park,42.37927325,-71.10341903,Somerville,Yes,19,2018
C32107,Pier 4 Blvd at Autumn Ln,42.3502102,-71.0446705,Boston,Yes,19,2022
A32029,Piers Park,42.3650112,-71.03528559,Boston,Yes,15,2016
V32009,Pope John High School,42.4203487,-71.04419768,Everett,Yes,15,2019
M32029,Porter Square Station,42.387995,-71.119084,Cambridge,Yes,19,2013
A32050,Porzio Park,42.36411904,-71.02876782,Boston,Yes,17,2020
D32012,Post Office Square,42.35585436,-71.05459746,Boston,Yes,19,2011
S32008,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,Somerville,Yes,14,2012
C32007,Prudential Center - 101 Huntington Ave,42.34652004,-71.08065777,Boston,Yes,18,2011
A32026,Purchase St at Pearl St,42.354659,-71.053181,Boston,Yes,19,2016
L32001,Railroad Lot and Minuteman Bikeway,42.41606457,-71.15336637,Arlington,Yes,11,2020
M32079,Raymond Park at Walden St,42.38736954,-71.12761001,Cambridge,Yes,19,2022
R32006,Revere City Hall,42.40741,-71.0139,Revere,Yes,11,2020
R32007,Revere Public Library,42.408088,-71.008942,Revere,Yes,11,2020
M32036,Rindge Avenue - O'Neill Library,42.392766,-71.129042,Cambridge,Yes,19,2014
C32058,Ring Rd,42.34827839,-71.08044855,Boston,Yes,3,2018
A32056,Riverway at Brookline Ave,42.33661006,-71.1100468,Boston,Yes,25,2023
M32035,Rogers St & Land Blvd,42.36644674,-71.07654601,Cambridge,Yes,19,2018
C32047,Roslindale Village - South St,42.287072,-71.127754,Boston,Yes,15,2018
C32046,Roslindale Village - Washington St,42.28630716,-71.12820532,Boston,Yes,15,2018
E32014,Ross Playground,42.2645666,-71.1145523,Boston,Yes,19,2022
D32008,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Boston,Yes,15,2011
C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Boston,Yes,23,2011
B32022,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,Boston,Yes,10,2016
B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,Boston,Yes,26,2011
C32031,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,Boston,Yes,15,2015
E32007,S Huntington Ave at Heath St,42.32760387,-71.1108917,Boston,Yes,15,2015
T32001,Salem Ferry Landing,42.52189284,-70.88069111,Salem,Yes,11,2021
T32012,Salem MBTA - Lower Level,42.523994,-70.89684,Salem,Yes,11,2022
T32005,Salem MBTA - Washington at Federal St,42.52345239,-70.89611113,Salem,Yes,13,2021
T32007 ,Salem State University - Bike Path at Loring Ave,42.50182399,-70.89478076,Salem,Yes,15,2021
T32009,Salem State University - North Campus,42.503332,-70.891444,Salem,Yes,11,2022
T32002,Salem Willows Park,42.53466911,-70.8702144,Salem,Yes,15,2021
C32033,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,Boston,Yes,14,2016
C32036,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,Boston,Yes,15,2017
B32014,Seaport Hotel - Congress St at Seaport Ln,42.34881026,-71.04167744,Boston,Yes,19,2011
B32007,Seaport Square - Seaport Blvd at Northern Ave,42.35148193,-71.04436085,Boston,Yes,23,2011
M32063,Sennott Park Broadway at Norfolk Street,42.36860524,-71.09930186,Cambridge,Yes,19,2019
D32059,Shawmut Ave at Lenox St,42.33584613,-71.08038157,Boston,Yes,19,2022
D32048,Shawmut Ave at Oak St W,42.34854543,-71.06559185,Boston,Yes,15,2019
E32009,Shawmut T Stop,42.292917,-71.06575,Boston,Yes,19,2019
T32003,Shetland Park - Congress at Peabody St,42.51836788,-70.88952363,Salem,Yes,11,2021
M32047,Sidney Research Campus/Erie Street at Waverly,42.35775309,-71.10393405,Cambridge,Yes,19,2016
D32032,Silber Way,42.349496,-71.10057592,Boston,Yes,19,2017
M32069,Smith Pl at Wilson Rd,42.39239749,-71.15058332,Cambridge,Yes,19,2020
A32006,Soldiers Field Park - 111 Western Ave,42.36426344,-71.1182757,Boston,Yes,15,2011
S32001,Somerville City Hall,42.386844,-71.09812,Somerville,Yes,19,2012
S32036,Somerville City Hall Annex,42.39189812,-71.09745376,Somerville,Yes,19,2019
S32048,Somerville High School & Central Library,42.3864,-71.09601,Somerville,Yes,17,2021
S32020,Somerville Hospital,42.39044622,-71.10856622,Somerville,Yes,15,2018
C32017,South Boston Library - 646 E Broadway,42.335741,-71.03877,Boston,Yes,15,2013
A32009,South End Library - Tremont St at W Newton St,42.341332,-71.076847,Boston,Yes,15,2011
A32010,South Station - 700 Atlantic Ave,42.352175,-71.055547,Boston,Yes,44,2011
D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,Boston,Yes,19,2012
C32087,Spring St at Powell St,42.27748444,-71.16341468,Boston,Yes,19,2019
K32007,St Mary's,42.34619708,-71.10728681,Brookline,Yes,15,2018
B32063,St. Alphonsus St at Tremont St,42.33329255,-71.10124648,Boston,Yes,17,2022
C32024,State Street at Channel Center,42.344137,-71.052608,Boston,Yes,19,2014
D32041,Stony Brook T Stop,42.316966,-71.104374,Boston,Yes,18,2018
D32049,Stuart St at Berkeley St,42.34954403,-71.07242074,Boston,Yes,18,2019
D32011,Stuart St at Charles St,42.351146,-71.066289,Boston,Yes,18,2011
D32053,Sullivan Square,42.38445226,-71.07514855,Boston,Yes,19,2019
R32001,Sumner St at Shirley Ave,42.40833706,-70.99804848,Revere,Yes,11,2021
A32013,Surface Rd at India St,42.358155,-71.052163,Boston,Yes,19,2015
A32042,Surface Rd at Summer St,42.3529457,-71.05656401,Boston,Yes,27,2019
V32007,Swan St. Park,42.41250451,-71.05842225,Everett,Yes,15,2019
C32064,Sydney St at Carson St,42.32039374,-71.05355408,Boston,Yes,19,2019
C32043,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,Boston,Yes,15,2018
C32110,Talbot Ave T Station,42.29225148,-71.07797205,,Yes,19,
K32008,Tappan St at Brookline Hills MBTA,42.33137017,-71.12688361,Brookline,Yes,15,2018
S32011,Teele Square,42.4008795,-71.12590793,Somerville,Yes,15,2013
E32011,The Dimock Center,42.31930943,-71.09639924,Boston,Yes,16,2019
A32033,The Eddy - New St at Sumner St,42.370744,-71.044201,Boston,Yes,15,2016
C32028,The Lawn on D,42.344792,-71.044024,Boston,Yes,19,2015
D32054,The Overlook at St. Gabriel's,42.34679008,-71.14549814,Boston,Yes,18,2020
C32049,Thetford Ave at Norfolk St,42.28621295,-71.07942931,Boston,Yes,15,2018
M32048,Third at Binney,42.36544486,-71.08277142,Cambridge,Yes,15,2016
L32005,Thorndike Field at Minuteman Bikeway,42.40016805,-71.14456963,Arlington,Yes,11,2020
C32000,Tremont St at E Berkeley St,42.345392,-71.069616,Boston,Yes,19,2011
B32056,Tremont St at Hamilton Pl,42.35668335,-71.06166646,Boston,Yes,19,2018
C32056,Tremont St at Northampton St,42.3384318,-71.0816905,Boston,Yes,19,2018
C32060,Tremont St at W. Dedham St,42.34254914,-71.07421449,Boston,Yes,15,2019
D32014,Tremont St at West St,42.354979,-71.063348,Boston,Yes,15,2011
C32035,Troy Boston,42.343749,-71.062256,Boston,Yes,5,2017
F32003,Tufts Sq - Main St at Medford St,42.401697,-71.106128,Medford,Yes,11,2022
A32001,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,Boston,Yes,19,2011
S32002,Union Square - Somerville,42.3796479,-71.09540476,Somerville,Yes,19,2012
S32041,Union Square East,42.380078,-71.090098,Somerville,Yes,19,2021
C32014,University of Massachusetts Boston - Campus Center,42.31218918,-71.03648586,Boston,Yes,19,2012
M32040,University Park,42.36264779,-71.10006094,Cambridge,Yes,19,2015
C32019,Uphams Corner,42.31727474,-71.06537004,Boston,Yes,14,2013
B32025,Uphams Corner T Stop - Magnolia St at Dudley St,42.31869734,-71.06978148,Boston,Yes,15,2016
A32053,Valenti Way at Haverhill St,42.36473899,-71.05934903,Boston,Yes,24,2021
M32057,Vassal Lane at Tobin/VLUS,42.38536765,-71.13775671,Cambridge,Yes,19,2018
M32050,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,Cambridge,Yes,19,2017
T32017,Vinnin Square,42.48628785,-70.90166733,Salem,Yes,11,2023
C32029,W Broadway at D St,42.3391085,-71.0514432,Boston,Yes,20,2015
C32016,W Broadway at Dorchester St,42.33595898,-71.046229,Boston,Yes,17,2013
C32102,Walnut Ave at School St,42.31242399,-71.09616905,Boston,Yes,19,2021
B32030,Walnut Ave at Warren St,42.324081,-71.083235,Boston,Yes,15,2016
D32021,Warren St at Chelsea St,42.371848,-71.060292,Boston,Yes,23,2012
K32011,Washington Sq,42.33985827,-71.13421171,Brookline,Yes,15,2020
C32042,Washington St at Bowdoin St,42.29916498,-71.07345872,Boston,Yes,15,2020
D32029,Washington St at Brock St,42.34895285,-71.16031677,Boston,Yes,15,2020
N32001,Washington St at Crafts St,42.35389024,-71.19943707,Newton,Yes,11,2022
C32081,Washington St at Denton Terr,42.28072815,-71.13423757,Boston,Yes,18,2019
A32037,Washington St at Egremont Rd,42.34286835,-71.14127841,Boston,Yes,15,2018
C32084,Washington St at Fuller St,42.28198628,-71.07147925,Boston,Yes,15,2020
C32005,Washington St at Lenox St,42.33509899,-71.07903779,Boston,Yes,15,2011
B32026,Washington St at Melnea Cass Blvd,42.332817,-71.081198,Boston,Yes,19,2016
S32021,Washington St at Myrtle St,42.3817508,-71.0839523,Somerville,Yes,15,2018
C32067,Washington St at Peters Park,42.3438524,-71.06764555,Boston,Yes,19,2019
C32006,Washington St at Rutland St,42.3385146,-71.07404083,Boston,Yes,27,2011
C32038,Washington St at Talbot Ave,42.290333,-71.071806,Boston,Yes,17,2018
N32014,Washington St at Walnut St,42.35145812,-71.20764971,Newton,Yes,11,2021
C32083,Washington St at Walsh Playground,42.2771947,-71.06955614,Boston,Yes,19,2019
D32002,Washington St at Waltham St,42.34157472,-71.0689044,Boston,Yes,15,2011
C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256,Boston,Yes,15,2016
W32002,Watertown Sq,42.36526032,-71.18573324,Watertown,Yes,15,2020
N32006,Watertown St at Albemarle Rd,42.35410408,-71.21382214,Newton,Yes,11,2020
W32005,Watertown Town Hall,42.36759308,-71.18751436,Watertown,Yes,11,2020
V32014,Wellington MBTA,42.4023682,-71.07573182,Everett,Yes,19,2022
B32021,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098,Boston,Yes,12,2015
D32022,West End Park,42.36590788,-71.06446669,Boston,Yes,35,2012
N32005,West Newton,42.3496005,-71.22627497,Newton,Yes,15,2020
A32043,Western Ave at Richardson St,42.36178741,-71.14393111,Boston,Yes,19,2019
B32059,Whittier St Health Center,42.33286288,-71.09218862,Boston,Yes,19,2019
D32040,Williams St at Washington St,42.306539,-71.107669,Boston,Yes,23,2018
S32005,Wilson Square,42.38567579,-71.11412136,Somerville,Yes,15,2012
