"Label (Grouping)","ZCTA5 02118!!Total!!Estimate","ZCTA5 02118!!Total!!Margin of Error","ZCTA5 02118!!Percent!!Estimate","ZCTA5 02118!!Percent!!Margin of Error","ZCTA5 02118!!Male!!Estimate","ZCTA5 02118!!Male!!Margin of Error","ZCTA5 02118!!Percent Male!!Estimate","ZCTA5 02118!!Percent Male!!Margin of Error","ZCTA5 02118!!Female!!Estimate","ZCTA5 02118!!Female!!Margin of Error","ZCTA5 02118!!Percent Female!!Estimate","ZCTA5 02118!!Percent Female!!Margin of Error","ZCTA5 02119!!Total!!Estimate","ZCTA5 02119!!Total!!Margin of Error","ZCTA5 02119!!Percent!!Estimate","ZCTA5 02119!!Percent!!Margin of Error","ZCTA5 02119!!Male!!Estimate","ZCTA5 02119!!Male!!Margin of Error","ZCTA5 02119!!Percent Male!!Estimate","ZCTA5 02119!!Percent Male!!Margin of Error","ZCTA5 02119!!Female!!Estimate","ZCTA5 02119!!Female!!Margin of Error","ZCTA5 02119!!Percent Female!!Estimate","ZCTA5 02119!!Percent Female!!Margin of Error","ZCTA5 02121!!Total!!Estimate","ZCTA5 02121!!Total!!Margin of Error","ZCTA5 02121!!Percent!!Estimate","ZCTA5 02121!!Percent!!Margin of Error","ZCTA5 02121!!Male!!Estimate","ZCTA5 02121!!Male!!Margin of Error","ZCTA5 02121!!Percent Male!!Estimate","ZCTA5 02121!!Percent Male!!Margin of Error","ZCTA5 02121!!Female!!Estimate","ZCTA5 02121!!Female!!Margin of Error","ZCTA5 02121!!Percent Female!!Estimate","ZCTA5 02121!!Percent Female!!Margin of Error","ZCTA5 02125!!Total!!Estimate","ZCTA5 02125!!Total!!Margin of Error","ZCTA5 02125!!Percent!!Estimate","ZCTA5 02125!!Percent!!Margin of Error","ZCTA5 02125!!Male!!Estimate","ZCTA5 02125!!Male!!Margin of Error","ZCTA5 02125!!Percent Male!!Estimate","ZCTA5 02125!!Percent Male!!Margin of Error","ZCTA5 02125!!Female!!Estimate","ZCTA5 02125!!Female!!Margin of Error","ZCTA5 02125!!Percent Female!!Estimate","ZCTA5 02125!!Percent Female!!Margin of Error","ZCTA5 02215!!Total!!Estimate","ZCTA5 02215!!Total!!Margin of Error","ZCTA5 02215!!Percent!!Estimate","ZCTA5 02215!!Percent!!Margin of Error","ZCTA5 02215!!Male!!Estimate","ZCTA5 02215!!Male!!Margin of Error","ZCTA5 02215!!Percent Male!!Estimate","ZCTA5 02215!!Percent Male!!Margin of Error","ZCTA5 02215!!Female!!Estimate","ZCTA5 02215!!Female!!Margin of Error","ZCTA5 02215!!Percent Female!!Estimate","ZCTA5 02215!!Percent Female!!Margin of Error"
"        40 to 44 years","1,384","±320","5.0%","±1.1","537","±189","3.9%","±1.3","847","±217","6.1%","±1.5","1,874","±396","6.6%","±1.4","922","±269","6.9%","±2.0","952","±264","6.3%","±1.7","1,720","±360","5.8%","±1.1","732","±235","5.3%","±1.5","988","±271","6.1%","±1.6","2,036","±342","6.2%","±1.0","858","±231","5.6%","±1.4","1,178","±236","6.8%","±1.3","623","±263","2.4%","±1.0","439","±238","3.9%","±2.1","184","±102","1.3%","±0.7"
"        45 to 49 years","1,561","±305","5.6%","±1.1","985","±247","7.2%","±1.8","576","±185","4.1%","±1.3","1,655","±426","5.8%","±1.4","763","±276","5.7%","±2.0","892","±241","5.9%","±1.6","1,329","±284","4.4%","±0.9","484","±171","3.5%","±1.2","845","±199","5.3%","±1.2","1,715","±313","5.3%","±1.0","775","±216","5.1%","±1.4","940","±217","5.4%","±1.2","298","±115","1.2%","±0.5","188","±108","1.7%","±1.0","110","±66","0.8%","±0.5"
"        50 to 54 years","2,101","±434","7.6%","±1.5","1,194","±413","8.7%","±2.8","907","±249","6.5%","±1.7","1,835","±419","6.5%","±1.5","804","±256","6.1%","±1.8","1,031","±333","6.9%","±2.3","1,817","±365","6.1%","±1.2","878","±291","6.4%","±2.1","939","±260","5.8%","±1.5","1,854","±304","5.7%","±0.9","805","±222","5.3%","±1.4","1,049","±180","6.0%","±1.0","424","±172","1.6%","±0.7","282","±130","2.5%","±1.1","142","±118","1.0%","±0.8"
"        55 to 59 years","2,158","±451","7.8%","±1.5","932","±240","6.8%","±1.6","1,226","±357","8.8%","±2.4","1,260","±244","4.5%","±0.9","612","±165","4.6%","±1.3","648","±173","4.3%","±1.2","2,131","±485","7.1%","±1.5","720","±284","5.2%","±1.9","1,411","±375","8.8%","±2.2","2,104","±288","6.5%","±0.9","927","±182","6.1%","±1.2","1,177","±222","6.8%","±1.3","306","±121","1.2%","±0.5","111","±72","1.0%","±0.6","195","±93","1.3%","±0.6"
"        60 to 64 years","1,687","±342","6.1%","±1.3","906","±232","6.6%","±1.6","781","±265","5.6%","±2.0","1,853","±426","6.5%","±1.5","788","±296","5.9%","±2.2","1,065","±306","7.1%","±2.1","1,577","±329","5.3%","±1.1","708","±238","5.1%","±1.7","869","±215","5.4%","±1.4","1,552","±258","4.8%","±0.8","691","±157","4.5%","±1.0","861","±206","5.0%","±1.2","349","±122","1.3%","±0.5","147","±65","1.3%","±0.6","202","±90","1.4%","±0.6"
"        65 to 69 years","1,153","±248","4.2%","±0.9","742","±225","5.4%","±1.6","411","±141","2.9%","±1.0","1,329","±292","4.7%","±1.0","658","±194","5.0%","±1.5","671","±154","4.5%","±1.0","1,318","±271","4.4%","±0.9","571","±170","4.1%","±1.3","747","±224","4.6%","±1.4","1,436","±287","4.4%","±0.9","756","±204","5.0%","±1.3","680","±158","3.9%","±0.9","176","±69","0.7%","±0.3","100","±50","0.9%","±0.4","76","±45","0.5%","±0.3"
"        70 to 74 years","1,031","±336","3.7%","±1.2","513","±181","3.7%","±1.3","518","±200","3.7%","±1.4","884","±251","3.1%","±0.9","363","±191","2.7%","±1.4","521","±188","3.5%","±1.3","1,093","±313","3.7%","±1.0","513","±282","3.7%","±2.0","580","±161","3.6%","±1.0","1,115","±298","3.4%","±0.9","484","±192","3.2%","±1.2","631","±167","3.6%","±1.0","225","±130","0.9%","±0.5","98","±73","0.9%","±0.7","127","±78","0.9%","±0.5"
"        75 to 79 years","596","±174","2.2%","±0.6","196","±75","1.4%","±0.6","400","±171","2.9%","±1.3","708","±145","2.5%","±0.5","222","±95","1.7%","±0.7","486","±134","3.2%","±0.9","461","±171","1.5%","±0.6","132","±78","1.0%","±0.6","329","±139","2.0%","±0.9","543","±171","1.7%","±0.5","193","±75","1.3%","±0.5","350","±155","2.0%","±0.9","39","±30","0.2%","±0.1","10","±14","0.1%","±0.1","29","±24","0.2%","±0.2"
"        80 to 84 years","342","±126","1.2%","±0.5","105","±69","0.8%","±0.5","237","±100","1.7%","±0.7","548","±216","1.9%","±0.8","215","±121","1.6%","±0.9","333","±188","2.2%","±1.3","361","±190","1.2%","±0.6","214","±166","1.5%","±1.2","147","±109","0.9%","±0.7","354","±99","1.1%","±0.3","193","±78","1.3%","±0.5","161","±79","0.9%","±0.4","117","±82","0.5%","±0.3","50","±45","0.4%","±0.4","67","±72","0.5%","±0.5"
"        85 years and over","590","±350","2.1%","±1.2","186","±153","1.4%","±1.1","404","±226","2.9%","±1.6","533","±249","1.9%","±0.9","219","±128","1.6%","±0.9","314","±199","2.1%","±1.3","306","±132","1.0%","±0.5","154","±86","1.1%","±0.6","152","±110","0.9%","±0.7","298","±117","0.9%","±0.4","73","±44","0.5%","±0.3","225","±108","1.3%","±0.6","173","±113","0.7%","±0.4","104","±85","0.9%","±0.7","69","±58","0.5%","±0.4"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        5 to 14 years","1,630","±377","5.9%","±1.3","754","±221","5.5%","±1.5","876","±266","6.3%","±1.9","3,257","±559","11.5%","±1.6","1,681","±380","12.7%","±2.6","1,576","±471","10.5%","±2.6","4,466","±670","14.9%","±2.0","2,191","±461","15.9%","±3.0","2,275","±437","14.2%","±2.5","3,678","±528","11.3%","±1.4","1,803","±300","11.8%","±1.9","1,875","±357","10.8%","±1.8","285","±202","1.1%","±0.8","175","±149","1.5%","±1.3","110","±90","0.8%","±0.6"
"        15 to 17 years","646","±189","2.3%","±0.7","343","±151","2.5%","±1.1","303","±141","2.2%","±1.0","1,057","±318","3.7%","±1.0","380","±138","2.9%","±1.0","677","±270","4.5%","±1.6","1,398","±315","4.7%","±1.1","648","±249","4.7%","±1.8","750","±215","4.7%","±1.3","890","±165","2.7%","±0.5","470","±132","3.1%","±0.8","420","±118","2.4%","±0.7","127","±89","0.5%","±0.3","77","±72","0.7%","±0.6","50","±45","0.3%","±0.3"
"        Under 18 years","3,237","±554","11.7%","±1.9","1,587","±352","11.5%","±2.4","1,650","±373","11.8%","±2.5","5,797","±842","20.5%","±2.2","2,717","±432","20.5%","±2.7","3,080","±774","20.5%","±4.0","7,498","±920","25.1%","±2.5","3,724","±653","27.0%","±4.0","3,774","±596","23.5%","±2.9","6,183","±703","19.0%","±1.8","3,237","±431","21.2%","±2.6","2,946","±451","17.0%","±2.1","620","±287","2.4%","±1.1","341","±175","3.0%","±1.5","279","±180","1.9%","±1.2"
"        18 to 24 years","2,385","±438","8.6%","±1.5","1,040","±226","7.5%","±1.6","1,345","±396","9.6%","±2.6","3,387","±545","12.0%","±1.7","2,028","±419","15.3%","±2.8","1,359","±259","9.0%","±1.7","3,022","±613","10.1%","±1.9","1,565","±384","11.3%","±2.5","1,457","±371","9.1%","±2.1","3,876","±511","11.9%","±1.6","1,799","±293","11.8%","±2.0","2,077","±375","12.0%","±2.0","15,560","±919","60.2%","±3.1","6,248","±591","54.9%","±4.9","9,312","±683","64.3%","±3.5"
"        15 to 44 years","13,908","±955","50.2%","±2.6","6,773","±562","49.2%","±3.7","7,135","±752","51.2%","±3.3","12,962","±1,107","45.8%","±2.2","6,299","±702","47.4%","±3.5","6,663","±734","44.3%","±2.8","13,395","±1,272","44.8%","±2.4","6,368","±749","46.1%","±4.1","7,027","±744","43.7%","±2.7","16,350","±944","50.1%","±1.8","7,570","±646","49.7%","±2.7","8,780","±618","50.5%","±2.4","23,256","±1,132","89.9%","±1.7","10,030","±825","88.1%","±2.4","13,226","±796","91.4%","±2.0"
"        16 years and over","25,052","±1,327","90.4%","±1.7","12,483","±841","90.6%","±1.9","12,569","±950","90.2%","±2.5","23,220","±1,244","82.0%","±2.3","10,908","±901","82.1%","±2.8","12,312","±780","81.9%","±4.1","23,238","±1,762","77.8%","±2.4","10,568","±1,054","76.5%","±3.7","12,670","±995","78.8%","±2.8","27,087","±1,254","83.1%","±1.7","12,332","±813","81.0%","±2.3","14,755","±781","84.9%","±2.0","25,362","±1,156","98.1%","±1.1","11,119","±837","97.7%","±1.5","14,243","±808","98.4%","±1.2"
"        18 years and over","24,481","±1,283","88.3%","±1.9","12,189","±828","88.5%","±2.4","12,292","±928","88.2%","±2.5","22,510","±1,171","79.5%","±2.2","10,563","±876","79.5%","±2.7","11,947","±744","79.5%","±4.0","22,390","±1,765","74.9%","±2.5","10,094","±1,084","73.0%","±4.0","12,296","±994","76.5%","±2.9","26,431","±1,260","81.0%","±1.8","11,997","±815","78.8%","±2.6","14,434","±769","83.0%","±2.1","25,236","±1,164","97.6%","±1.1","11,043","±834","97.0%","±1.5","14,193","±815","98.1%","±1.2"
"        21 years and over","23,874","±1,283","86.1%","±1.9","11,915","±824","86.5%","±2.3","11,959","±919","85.8%","±2.8","21,304","±1,113","75.3%","±2.2","9,875","±868","74.4%","±3.4","11,429","±699","76.1%","±3.9","21,460","±1,682","71.8%","±2.5","9,518","±1,044","68.9%","±4.1","11,942","±971","74.3%","±3.0","24,836","±1,205","76.2%","±1.8","11,319","±803","74.3%","±2.6","13,517","±720","77.8%","±2.3","14,814","±1,005","57.3%","±2.7","6,970","±747","61.2%","±3.9","7,844","±653","54.2%","±3.3"
"        60 years and over","5,399","±603","19.5%","±2.0","2,648","±381","19.2%","±2.4","2,751","±386","19.7%","±3.0","5,855","±677","20.7%","±2.6","2,465","±474","18.6%","±3.4","3,390","±507","22.6%","±3.6","5,116","±707","17.1%","±2.4","2,292","±544","16.6%","±3.6","2,824","±360","17.6%","±2.5","5,298","±543","16.2%","±1.5","2,390","±353","15.7%","±2.1","2,908","±350","16.7%","±1.9","1,079","±233","4.2%","±0.9","509","±155","4.5%","±1.3","570","±156","3.9%","±1.1"
"        62 years and over","4,580","±542","16.5%","±1.8","2,183","±334","15.8%","±2.3","2,397","±359","17.2%","±2.6","5,060","±650","17.9%","±2.4","2,205","±446","16.6%","±3.2","2,855","±446","19.0%","±3.2","4,557","±652","15.2%","±2.1","2,108","±532","15.3%","±3.6","2,449","±351","15.2%","±2.2","4,702","±512","14.4%","±1.4","2,093","±349","13.7%","±2.1","2,609","±322","15.0%","±1.8","988","±221","3.8%","±0.8","475","±155","4.2%","±1.3","513","±144","3.5%","±1.0"
"        65 years and over","3,712","±551","13.4%","±1.8","1,742","±294","12.6%","±2.0","1,970","±378","14.1%","±2.6","4,002","±522","14.1%","±2.0","1,677","±347","12.6%","±2.6","2,325","±389","15.5%","±2.7","3,539","±560","11.8%","±1.9","1,584","±478","11.5%","±3.2","1,955","±290","12.2%","±1.8","3,746","±454","11.5%","±1.2","1,699","±300","11.2%","±1.8","2,047","±291","11.8%","±1.5","730","±191","2.8%","±0.7","362","±134","3.2%","±1.2","368","±135","2.5%","±0.9"
"        75 years and over","1,528","±419","5.5%","±1.4","487","±171","3.5%","±1.2","1,041","±304","7.5%","±2.2","1,789","±387","6.3%","±1.4","656","±218","4.9%","±1.6","1,133","±309","7.5%","±2.1","1,128","±304","3.8%","±1.0","500","±239","3.6%","±1.6","628","±208","3.9%","±1.3","1,195","±201","3.7%","±0.6","459","±118","3.0%","±0.8","736","±175","4.2%","±0.9","329","±117","1.3%","±0.4","164","±83","1.4%","±0.7","165","±91","1.1%","±0.6"
"    SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Median age (years)","36.7","±1.3","(X)","(X)","37.9","±2.1","(X)","(X)","35.6","±2.3","(X)","(X)","34.7","±2.1","(X)","(X)","33.1","±3.3","(X)","(X)","35.8","±4.2","(X)","(X)","33.3","±1.4","(X)","(X)","31.3","±1.7","(X)","(X)","35.3","±2.0","(X)","(X)","33.8","±1.0","(X)","(X)","33.1","±1.3","(X)","(X)","34.5","±1.7","(X)","(X)","21.8","±0.3","(X)","(X)","22.6","±1.0","(X)","(X)","21.4","±0.3","(X)","(X)"
"        Sex ratio (males per 100 females)","98.8","±9.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","88.4","±9.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","86.0","±7.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","87.7","±5.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","78.7","±7.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","33.5","±4.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","52.9","±5.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","58.5","±6.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","43.8","±4.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","5.5","±1.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","17.9","±2.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","21.6","±3.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","18.8","±3.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","16.5","±2.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","3.0","±0.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","15.6","±2.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.3","±4.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","39.8","±5.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.3","±3.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2.5","±1.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","2.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
