,zip_code,OZONE_AQI,PM2.5_AQI,year
115,2140,31.72905027932961,40.2534435261708,2017
116,2140,31.565934065934066,43.07988980716254,2018
117,2140,31.19327731092437,34.9478021978022,2019
118,2140,31.083798882681563,33.36986301369863,2021
119,2140,34.41456582633053,30.378082191780823,2022
120,2141,31.72905027932961,40.2534435261708,2017
121,2141,31.565934065934066,43.07988980716254,2018
122,2141,31.304469273743017,34.99452054794521,2019
123,2141,31.083798882681563,33.36986301369863,2021
124,2141,34.41456582633053,30.378082191780823,2022
125,2142,31.72905027932961,40.2534435261708,2017
126,2142,31.565934065934066,43.07988980716254,2018
127,2142,31.304469273743017,34.99452054794521,2019
128,2142,31.083798882681563,33.36986301369863,2021
129,2142,34.41456582633053,30.378082191780823,2022
130,2143,31.72905027932961,40.2534435261708,2017
131,2143,31.565934065934066,43.07988980716254,2018
