MBTA_Bus_Routes_and_Stops
X,Y,STOP_NAME,TOWN
-71.0557068935389,42.2834931718584,Adams St @ Minot St,BOSTON
-71.0556455433429,42.2836748781299,Adams St @ Minot St,BOSTON
-71.1568862825363,42.284040999231,Centre St opp Bellevue st,BOSTON
-71.0469370906445,42.2839182365237,Gallivan Blvd @ Hallet St,BOSTON
-71.0217092070672,42.1064260775156,Montello Commuter Rail Station,BROCKTON
-71.016999965975,42.1198253277249,Howard St @ Lisa Dr,BROCKTON
-71.0165905106656,42.1208286085802,S Franklin St @ Howard Ave,HOLBROOK
-71.0164295633464,42.1209486298434,S Franklin St @ Howard Ave,HOLBROOK
-71.0141705621513,42.1223286319181,S Franklin St opp Hamilton Way,HOLBROOK
-71.0139205653441,42.1224486321639,S Franklin St @ Hamilton Way,HOLBROOK
-71.012300564056,42.1236286317721,S Franklin St @ Woodlawn Ave,HOLBROOK
-71.012241138591,42.1237545118647,1002 S Franklin St,HOLBROOK
-71.0116422748597,42.12558228463,S Franklin St @ Upland St,HOLBROOK
-71.0116213425839,42.1256293827537,S Franklin St @ Emery St,HOLBROOK
-71.008033203701,42.1259746168594,Holbrook Ct @ Linwood Housing,HOLBROOK
-71.0064697223724,42.1261846159014,Holbrook Ct @ Linwood St,HOLBROOK
-71.0108196458305,42.1266656230061,S Franklin St @ Francis St,HOLBROOK
-71.0096728397223,42.1273388230191,S Franklin St @ Linwood St,HOLBROOK
-71.0095107328872,42.1274538624733,S Franklin St @ South St,HOLBROOK
-71.0089670128621,42.1287502139996,S Franklin St @ Diman Ave,HOLBROOK
-71.0088358505579,42.1297527509816,778 S Franklin St,HOLBROOK
-71.0401075728116,42.1315796288552,E Main St @ W Main St,AVON
-71.0082054523306,42.132199880052,716 S Franklin St,HOLBROOK
-71.0080915637371,42.1324776334485,Opp 716 S Franklin St,HOLBROOK
-71.0399043525545,42.1328069004436,E Main St @ E High St,AVON
-71.0075373706072,42.1338222992732,S Franklin St opp Laurel Pk,HOLBROOK
-71.0074682934411,42.1339909928967,S Franklin St @ Laurel Pk,HOLBROOK
-71.039695941074,42.1342641057006,Main St @ Demarco Park,AVON
-71.0397958169098,42.1349349861264,40 N Main St,AVON
-71.0398257935071,42.1351008536298,47 N Main St,AVON
-71.0067228225833,42.1355512441605,S Franklin St @ Quincy St,HOLBROOK
-71.006641646613,42.1357580358348,S Franklin St opp Quincy St,HOLBROOK
-71.0400752587154,42.1372506368436,N Main St @ Langley Rd,RANDOLPH
-71.0400794179664,42.1376793589315,S Main St @ Acorn Dr,RANDOLPH
-71.0063486037637,42.137811939169,549 S Franklin St,HOLBROOK
-71.0063486037637,42.137811939169,Opp 549 S Franklin St,HOLBROOK
-71.0400942046578,42.1384252781703,702 S Main St,RANDOLPH
-71.0088674144205,42.2559297543117,Adams St opp Alleyne St,QUINCY
-71.0989282606976,42.2563306874051,Blue Hill Ave - Valentine Rd to Tucker St (FLAG),MILTON
-71.0460942011858,42.2561673117157,Edgehill Rd @ Huntington Rd,MILTON
-71.1259612826961,42.2564689657163,11 Summer St,BOSTON
-71.006999023477,42.2560412752829,Hancock St @ Merrymount Rd,QUINCY
-70.9285380923936,42.2557273803477,River St opp Cliff St,WEYMOUTH
-70.9283044405217,42.2557836934917,River St @ Cliff St,WEYMOUTH
-70.8518783717349,42.2553879835825,Rockland St from Kilby St to Nantasket Ave (FLAG),HINGHAM
-71.0459231647206,42.2563215959928,Edgehill Rd @ Reservation Rd,MILTON
-71.0334778405961,42.2562884473864,Adams St @ Beale St,QUINCY
-71.0071160235722,42.2561946012052,Hancock St opp Merrymount Rd,QUINCY
-71.0336990736233,42.2563634173827,Adams St @ Stedman St,QUINCY
-71.0987789671296,42.2566130965239,Blue Hill Ave - Tucker St to Valentine Rd (FLAG),MILTON
-71.1239080612377,42.2567125169099,Hyde Park Ave @ Grant Place,BOSTON
-70.8517013772126,42.2555068084443,Rockland St from Nantasket Ave to Kilby St (FLAG),HINGHAM
-70.996078069517,42.2562513011625,55 Sea St,QUINCY
-70.9961777458719,42.2562758201733,Sea St @ Cemetery,QUINCY
-70.9695889857417,42.2563052076197,Palmer St @ Roach St,QUINCY
-70.9697444227709,42.256430812793,Palmer St opp Roach St,QUINCY
-71.161951435532,42.2572518314173,Washington St @ Oak St,DEDHAM
-71.0352711692445,42.2568533276255,Adams St @ Washington St,MILTON
-71.1464963750524,42.2572546674832,Opp 67 Crown Point Dr,BOSTON
-71.1267946016195,42.2572749423565,Austin St @ Gordon Ave,BOSTON
-71.0356601101905,42.2569667198317,Adams St @ Pilgrim Rd,MILTON
-71.1463565852613,42.2573971604988,Margaretta Dr @ Crown Point Dr,BOSTON
-71.0436182687718,42.2571035290232,Edgehill Rd @ Hollis St,MILTON
-71.1450014049154,42.2574733290609,Georgetowne Dr @ Margaretta Dr,BOSTON
-71.1198078956682,42.257399540366,River St @ Webster St,BOSTON
-71.1452300216743,42.2575796117728,Margaretta Dr @ Georgetowne Dr,BOSTON
-70.8993257753271,42.2565608134644,Downer Ave @ Otis St,HINGHAM
-70.8991287801239,42.256592384197,Otis St @ Downer Ave,HINGHAM
-71.1195232783686,42.2575578393179,River St @ Walter St,BOSTON
-71.0428639908418,42.2572892065548,Edgehill Rd @ Grafton Ave,MILTON
-71.0112205711656,42.257248657631,Newport Ave @ Furnace Brook Pkwy,QUINCY
-71.0426574830358,42.2573852351042,Edgehill Rd opp Grafton Ave,MILTON
-70.9248755453464,42.2568856584056,River St @ Weymouth Port,WEYMOUTH
-71.1680372270283,42.2578780357996,Dedham Mall @ Stop & Shop,DEDHAM
-71.0080082998746,42.2573165687284,Hancock St @ Butler Rd,QUINCY
-71.0373905542683,42.2574789521349,Adams St @ Granite Pl,MILTON
-70.9706913374715,42.257203249737,Palmer St @ Brockton Ave,QUINCY
-71.1315073499669,42.1764326370114,Washington St - Pleasant St to Pecunit St (FLAG),CANTON
-71.2228264930556,42.1767522210446,Walpole St @ Olde Derby Rd,NORWOOD
-71.2228020854385,42.1768164976882,508 Walpole St opp Old Derby Rd,NORWOOD
-71.131351916385,42.1765734137089,Washington St - Pecunit St to Pleasant St (FLAG),CANTON
-71.206570275,42.1769002036325,Washington St @ Austin St,NORWOOD
-71.0493726113903,42.1763979277424,571 N Main St,RANDOLPH
-70.9534605470999,42.1763086442595,Opp 85 Columbian St,WEYMOUTH
-71.0334301097164,42.1766764310351,455 North St opp Dyer Ave,RANDOLPH
-71.0495876071605,42.1767781281216,564 N Main St,RANDOLPH
-71.0332086882603,42.1767626020712,North St @ Dyer Ave,RANDOLPH
-71.0139899203652,42.1768631217474,Washington St opp Foster Rd,BRAINTREE
-71.0140701583201,42.1770274902475,Washington St @ Foster Rd,BRAINTREE
-71.03212368577,42.1772658955992,North St opp McAuliffe Rd,RANDOLPH
-71.2060434652632,42.1779127425045,Washington St @ Saint George Ave,NORWOOD
-71.0319002247454,42.1773797641704,North St @ McAuliffe Rd,RANDOLPH
-71.2059479342763,42.1781015648123,Washington St @ Weld Ave,NORWOOD
-71.0501992459319,42.1778498939827,618 N Main St opp Vesey Rd,RANDOLPH
-71.050324157087,42.1780800886808,Opp 641 N Main St,RANDOLPH
-71.050324157087,42.1780800886808,641 N Main St,RANDOLPH
-71.0308548930491,42.1781975747267,North St @ Teed Dr,RANDOLPH
-71.0145258852066,42.1781914989708,Washington St @ Hill View Rd,BRAINTREE
-71.0307183792214,42.1783418936077,North St @ McDevitt Rd,RANDOLPH
-71.0146385945359,42.1784912080934,Washington St @ Hill View Rd,BRAINTREE
-71.2053851738863,42.1792308846005,Washington St @ Heaton Ave,NORWOOD
-71.2215952664128,42.1793727338255,445 Walpole St @ Wilson St,NORWOOD
-71.2052937907016,42.1794014837946,Washington St @ Oolah Ave,NORWOOD
-70.9553186155022,42.1788402264738,780 Main St,WEYMOUTH
-71.2210462057509,42.1798130923334,Opp 445 Walpole St @ Victory Plaza,NORWOOD
-70.9553136812131,42.1789869098014,Main St @ Adams Place,WEYMOUTH
-71.0296325635459,42.1796489371529,North St @ Pictun Rd,RANDOLPH
-71.0146939543488,42.1798001105486,Washington St @ Plymouth Rd,BRAINTREE
-71.2047700245079,42.1804555441683,Washington St @ Dean St,NORWOOD
-71.0294689797405,42.1798884733993,North St @ Canessa St,RANDOLPH
-71.2044832007551,42.1806746669693,Washington St opp Dean St,NORWOOD
-70.955221546712,42.1801826442547,Main St @ Park Ave,WEYMOUTH
-71.051931757531,42.180840034492,721 N Main St,RANDOLPH
-70.9551805483042,42.1805486428001,Main St @ Bayley Terrace,WEYMOUTH
-71.0520335804413,42.1810096406869,Opp 683 N Main St,RANDOLPH
-71.0137605668754,42.1813486398134,Washington St opp Mass Ave,BRAINTREE
-71.2033535993441,42.1820136797419,Washington St @ Lenox St,NORWOOD
-71.0137100039543,42.1814069816316,Washington St @ Park Ave,BRAINTREE
-71.0284435787398,42.1817282967134,North St opp Brewster Rd,RANDOLPH
-71.0283753361615,42.1818980404153,North St @ Brewster Rd,RANDOLPH
-71.2149916852061,42.1828069390553,Walpole St opp Hillshire Ln,NORWOOD
-71.214910744073,42.1828382696014,Walpole St @ Hillshire Ln,NORWOOD
-71.0128245549294,42.1824747745974,Washington St @ Bellevue Ave,BRAINTREE
-71.0531625581024,42.1827227406821,opp 721 N Main St,RANDOLPH
-71.0126720346883,42.1826359770221,Washington St opp Bellevue Ave,BRAINTREE
-71.028163970585,42.1828943451084,North St opp Scannel Rd,RANDOLPH
-71.2033379232527,42.1835365872113,929 Washington St,NORWOOD
-71.0281918976352,42.1831609170487,North St @ Scannel Rd,RANDOLPH
-71.0537916483079,42.1835846905936,N Main St @ Francis Dr,RANDOLPH
-71.0539143965855,42.183751840209,800 N Main St,RANDOLPH
-71.2032619310669,42.184555777709,Washington St @ Walnut St,NORWOOD
-71.2032578329451,42.1846195319117,930 Washington St opp Walnut Ave,NORWOOD
-70.9553781971047,42.1841487993342,Opp 650 Main St,WEYMOUTH
-70.9553781971047,42.1841487993342,650 Main St,WEYMOUTH
-71.0547837530817,42.1849245383501,N Main St @ Oak St,RANDOLPH
-71.0551664136466,42.1854531363137,N Main St @ Chestnut St,RANDOLPH
-71.1219719600866,42.1858659753174,Washington St - Pecunit St to Turnpike St (FLAG),CANTON
-71.1219080203479,42.1859305073263,Washington St - Turnpike St to Pecunit St (FLAG),CANTON
-71.0087715660172,42.1857696409747,Washington St @ Peach St,BRAINTREE
-71.0085776102919,42.1859868848086,Washington St opp Peach St,BRAINTREE
-71.2029717218526,42.186813748816,863 Washington St @ Douglas Ave,NORWOOD
-71.0292774450065,42.1865907941539,North St @ Randolph Rd,RANDOLPH
-71.209599550547,42.1873250206711,Walpole St @ Elliot St,NORWOOD
-71.2094734065839,42.1874061256325,Walpole St @ Brookfield Rd,NORWOOD
-71.0294775733914,42.1869266444079,North St @ Oak St,RANDOLPH
-71.2028664848072,42.1875827842141,Washington St @ East Hoyle St,NORWOOD
-70.9555279140129,42.1870099332148,Opp 561 Main St,WEYMOUTH
-70.9555326428215,42.1871113235327,561 Main St,WEYMOUTH
-71.0566771984476,42.1876751775596,901 N Main St,RANDOLPH
-71.0298030348788,42.1880097898513,North St opp Broad St,RANDOLPH
-71.0298453904448,42.1881808618275,North St @ Broad St,RANDOLPH
-71.0571244369013,42.1883376375609,N Main St @ Gordon St,RANDOLPH
-71.2026411217861,42.1895204131111,785 Washington St @ Norwood Hospital,NORWOOD
-71.2026411217861,42.1895204131111,Washington St @ Norwood Hospital,NORWOOD
-71.0578274313441,42.1893949390594,969 N Main St,RANDOLPH
-71.0300846561106,42.1892961625673,North St opp Isabell Circle,RANDOLPH
-71.0300905748389,42.1894713670522,North St @ Isabell Circle,RANDOLPH
-71.1455643496801,42.1567025932141,Washington St @ Canton Center Station,CANTON
-71.0086005673267,42.1562276388882,N Franklin St @ Linfield St,HOLBROOK
-71.0276408022321,42.1564323924045,Holbrook/Randolph Comm Rail Sta,RANDOLPH
-71.2198726648561,42.1572656029511,Washington St opp Washington Green,WALPOLE
-71.0441144532143,42.1568555236983,S Main St @ Darrell Dr,RANDOLPH
-71.2197358446152,42.1574271187824,Washington St @ Washington Green,WALPOLE
-71.0440435557495,42.157018677099,S Main St @ Fairview Ave,RANDOLPH
-71.2428442576644,42.1580659559604,565 Main St @ Stop & Shop Plaza,WALPOLE
-71.033196364911,42.1577492077982,Union St @ Prospect Ave,RANDOLPH
-71.0334141728321,42.1578374136139,Union St opp Prospect Ave,RANDOLPH
-71.0070712068923,42.1578860398159,N Franklin St @ School St,HOLBROOK
-71.0434916566784,42.1583459530439,S Main St @ Van Beal Rd,RANDOLPH
-71.2184406368456,42.1589686319824,238 Washington St opp May St,WALPOLE
-71.145022456265,42.1588220095679,Washington St - Canton Ctr Sta to Pequit St (FLAG),CANTON
-71.2414776444145,42.1590946308556,Main St @ Sherwood Dr.,WALPOLE
-71.0067550076066,42.1583307439215,N Franklin St. @ Elm Ave,HOLBROOK
-71.2183136371426,42.1591190224683,205 Washington St @ East Walpole Loop,WALPOLE
-71.0433944688579,42.1585953579192,S Main St @ Woodlawn St,RANDOLPH
-71.1449183868464,42.1590036304744,Washington St - Lewis St to Canton Ctr sta (FLAG),CANTON
-71.043050580081,42.1594186370277,S Main St @ Maple St,RANDOLPH
-71.042878856708,42.1597217665905,S Main St @ Elgin Court,RANDOLPH
-71.2171499451978,42.160467757187,Washington St @ Rhoades Ave,WALPOLE
-71.0424062657044,42.1605815383166,Opp 32 S Main St,RANDOLPH
-71.0062325629124,42.1605386388963,N Franklin St @ Noonans Lane,HOLBROOK
-71.2164271662121,42.1613109489435,Washington St @ East St,WALPOLE
-71.0062405666773,42.1606686393421,N Franklin St @ Belcher St,HOLBROOK
-71.23867063953,42.1616286308179,Main St @ Davis St,WALPOLE
-71.2160263705296,42.1617933186818,Washington St @ Chestnut St,WALPOLE
-71.2382426397111,42.1618566329837,Main St opp Chapman St,WALPOLE
-71.0420318930651,42.1612678906908,32 S Main St,RANDOLPH
-71.2159060864908,42.1619480257128,Washington St opp Chestnut St,WALPOLE
-71.0400642032866,42.1618309210476,Union St @ Howard St,RANDOLPH
-71.0403105775355,42.1619786389163,Union St @ South St,RANDOLPH
-71.0064377187355,42.1618673234683,N Franklin St opp Cedarcrest Rd,HOLBROOK
-71.2154090559935,42.1626107360018,123 Washington St,WALPOLE
-71.2153680659559,42.1626653897732,Opp 123 Washington St,WALPOLE
-71.0064605631444,42.1620486362257,N Franklin St @ Cedarcrest Rd,HOLBROOK
-71.0413105764402,42.1627186371837,North St @ Union St,RANDOLPH
-71.0821884999976,42.3042303425437,Columbia Rd @ Seaver St,BOSTON
-71.0580279831655,42.1896825056438,N Main St @ Intervale Terr,RANDOLPH
-71.0071529288778,42.1897368431652,Washington St opp Hancock St,BRAINTREE
-71.0071529288778,42.1897368431652,Washington St opp Braxton St,BRAINTREE
-70.9525705473577,42.1897286465119,Middle St opp Mediterranean Dr,WEYMOUTH
-70.9525170391842,42.1897672915506,Middle St @ Mediterranean Dr,WEYMOUTH
-71.0584773731867,42.1903728170424,N Main St opp Intervale Terr,RANDOLPH
-71.2024427802399,42.1912831386479,Washington St @ Guild St,NORWOOD
-71.2024427802399,42.1912831386479,Washington St @ Guild St,NORWOOD
-71.0298505744341,42.1908086433228,North St opp Maitland Ave,RANDOLPH
-71.0068499601116,42.1908537933273,355 Hancock St,BRAINTREE
-71.0297951864175,42.1910045811764,North St @ Maitland Ave,RANDOLPH
-70.9512996830413,42.190774698013,Middle St opp Rockaway Ave,WEYMOUTH
-70.9512996830413,42.190774698013,Middle St @ Rockaway Ave,WEYMOUTH
-71.0590893866821,42.1912957617072,1034 N Main St,RANDOLPH
-71.0591819547755,42.1914305119461,Opp 1048 N Main St,RANDOLPH
-71.1631989162269,42.2563850179548,Washington St @ Sumner St,DEDHAM
-71.0324228619928,42.2559378179313,Adams St @ Robertson St,QUINCY
-71.1206531725761,42.25626398302,River St @ McGrath Way,BOSTON
-71.1260351187233,42.2563035120235,Gordon Ave @ Summer St,BOSTON
-70.9006701428108,42.2553543395716,Downer Ave @ Governor Long Rd,HINGHAM
-71.0465525453759,42.2839453434849,Gallivan Blvd @ Hallet St,BOSTON
-71.0914227912122,42.2841178271767,Blue Hill Ave @ Morton St,BOSTON
-71.0245775200224,42.2838679770713,E Squantum St @ Atlantic St,QUINCY
-71.0916032858204,42.2841284993107,Blue Hill Ave @ Morton St,BOSTON
-71.1124201427806,42.2842328100304,American Legion Hwy @ Army Reserve,BOSTON
-71.0911719951729,42.2842047999459,Morton St @ Blue Hill Ave,BOSTON
-71.0813657902961,42.2841810296017,247 Norfolk St opp Capen St,BOSTON
-71.081271202282,42.2842167186001,Norfolk St @ Capen St,BOSTON
-71.124977440025,42.2843741815093,Cummins Hwy. @ Sycamore St.,BOSTON
-71.1697235565887,42.284511956962,Vermont St @ Baker St,BOSTON
-71.0639397193038,42.2841767577481,Ashmont Station,BOSTON
-71.1250321169682,42.2844196433702,Cummins Hwy @ Sycamore St,BOSTON
-71.0246132678496,42.2840506955582,E Squantun St @ Atlantic St,QUINCY
-71.1624192866454,42.2846565641308,Lagrange St @ Pender St,BOSTON
-71.1624647767569,42.284695951781,Lagrange St opp Pender St,BOSTON
-71.0921044760915,42.2845435102489,Morton St @ Blue Hill Ave,BOSTON
-71.0715239043293,42.2845684455742,Washington St @ Armandine St,BOSTON
-71.111674858594,42.2847468728447,American Legion Hwy opp Shopping Center,BOSTON
-71.2357388436802,42.2851140978284,Highland Ave @ Oakland Ave,NEEDHAM
-71.0714958626402,42.2846341910208,Washington St opp Armandine St,BOSTON
-71.0356282574515,42.1697116258859,North St @ Seton Way,RANDOLPH
-71.0355347374926,42.1698709935719,North St opp Seton Way,RANDOLPH
-71.0084093763488,42.1700648689448,Washington St @ Water St,BRAINTREE
-71.0085413999354,42.1702161054642,Washington St @ Roosevelt St,BRAINTREE
-71.0463514736293,42.1705475934123,N Main St @ Roel St,RANDOLPH
-71.0464394053057,42.1707030905654,N Main St opp Roel St,RANDOLPH
-71.2095686471366,42.171355114312,Washington St @ Morse St,NORWOOD
-71.2094659108629,42.1715093546959,1297 Washington St opp. Morse St.,NORWOOD
-71.0092642728907,42.1710185897756,Washington St @ Main St,BRAINTREE
-71.0093120796886,42.1710719559471,2052 Washington St,BRAINTREE
