date,zip_code,ReportingArea,StateCode,Latitude,Longitude,OZONEAQI,PM2.5AQI,PM10AQI,CategoryNumber,CategoryName
2022-04-07,2045,Weymouth,MA,42.2459,-70.9628,42.0,29.0,,1.0,Good
2022-04-08,2045,Weymouth,MA,42.2459,-70.9628,41.0,20.0,,1.0,Good
2022-04-09,2045,Weymouth,MA,42.2459,-70.9628,45.0,22.0,,1.0,Good
2022-04-10,2045,Weymouth,MA,42.2459,-70.9628,34.0,13.0,,1.0,Good
2022-04-11,2045,Weymouth,MA,42.2459,-70.9628,39.0,8.0,,1.0,Good
2022-04-12,2045,Weymouth,MA,42.2459,-70.9628,44.0,20.0,,1.0,Good
2022-04-13,2045,Weymouth,MA,42.2459,-70.9628,51.0,23.0,,2.0,Moderate
2022-04-14,2045,Weymouth,MA,42.2459,-70.9628,41.0,26.0,,1.0,Good
2022-04-15,2045,Weymouth,MA,42.2459,-70.9628,49.0,18.0,,1.0,Good
2022-04-16,2045,Weymouth,MA,42.2459,-70.9628,51.0,21.0,,2.0,Moderate
2022-04-17,2045,Weymouth,MA,42.2459,-70.9628,31.0,9.0,,1.0,Good
2022-04-18,2045,Weymouth,MA,42.2459,-70.9628,32.0,13.0,,1.0,Good
2022-04-19,2045,Weymouth,MA,42.2459,-70.9628,34.0,18.0,,1.0,Good
2022-04-20,2045,Weymouth,MA,42.2459,-70.9628,36.0,10.0,,1.0,Good
2022-04-21,2045,Weymouth,MA,42.2459,-70.9628,44.0,17.0,,1.0,Good
2022-04-22,2045,Weymouth,MA,42.2459,-70.9628,42.0,17.0,,1.0,Good
2022-04-23,2045,Weymouth,MA,42.2459,-70.9628,43.0,20.0,,1.0,Good
2022-04-24,2045,Weymouth,MA,42.2459,-70.9628,41.0,21.0,,1.0,Good
2022-04-25,2045,Weymouth,MA,42.2459,-70.9628,39.0,22.0,,1.0,Good
2022-04-26,2045,Weymouth,MA,42.2459,-70.9628,33.0,23.0,,1.0,Good
2022-04-27,2045,Weymouth,MA,42.2459,-70.9628,33.0,15.0,,1.0,Good
