"Label (Grouping)","ZCTA5 02108!!Estimate","ZCTA5 02108!!Margin of Error","ZCTA5 02109!!Estimate","ZCTA5 02109!!Margin of Error","ZCTA5 02110!!Estimate","ZCTA5 02110!!Margin of Error","ZCTA5 02111!!Estimate","ZCTA5 02111!!Margin of Error","ZCTA5 02113!!Estimate","ZCTA5 02113!!Margin of Error","ZCTA5 02114!!Estimate","ZCTA5 02114!!Margin of Error","ZCTA5 02115!!Estimate","ZCTA5 02115!!Margin of Error","ZCTA5 02116!!Estimate","ZCTA5 02116!!Margin of Error","ZCTA5 02118!!Estimate","ZCTA5 02118!!Margin of Error","ZCTA5 02119!!Estimate","ZCTA5 02119!!Margin of Error","ZCTA5 02120!!Estimate","ZCTA5 02120!!Margin of Error","ZCTA5 02121!!Estimate","ZCTA5 02121!!Margin of Error","ZCTA5 02122!!Estimate","ZCTA5 02122!!Margin of Error","ZCTA5 02124!!Estimate","ZCTA5 02124!!Margin of Error","ZCTA5 02125!!Estimate","ZCTA5 02125!!Margin of Error","ZCTA5 02126!!Estimate","ZCTA5 02126!!Margin of Error","ZCTA5 02127!!Estimate","ZCTA5 02127!!Margin of Error","ZCTA5 02128!!Estimate","ZCTA5 02128!!Margin of Error","ZCTA5 02129!!Estimate","ZCTA5 02129!!Margin of Error","ZCTA5 02130!!Estimate","ZCTA5 02130!!Margin of Error","ZCTA5 02131!!Estimate","ZCTA5 02131!!Margin of Error","ZCTA5 02132!!Estimate","ZCTA5 02132!!Margin of Error","ZCTA5 02133!!Estimate","ZCTA5 02133!!Margin of Error","ZCTA5 02134!!Estimate","ZCTA5 02134!!Margin of Error","ZCTA5 02135!!Estimate","ZCTA5 02135!!Margin of Error","ZCTA5 02136!!Estimate","ZCTA5 02136!!Margin of Error","ZCTA5 02163!!Estimate","ZCTA5 02163!!Margin of Error","ZCTA5 02199!!Estimate","ZCTA5 02199!!Margin of Error","ZCTA5 02203!!Estimate","ZCTA5 02203!!Margin of Error","ZCTA5 02205!!Estimate","ZCTA5 02205!!Margin of Error","ZCTA5 02210!!Estimate","ZCTA5 02210!!Margin of Error","ZCTA5 02215!!Estimate","ZCTA5 02215!!Margin of Error","ZCTA5 02445!!Estimate","ZCTA5 02445!!Margin of Error","ZCTA5 02446!!Estimate","ZCTA5 02446!!Margin of Error","ZCTA5 02467!!Estimate","ZCTA5 02467!!Margin of Error"
"        Bus","46","±43","20","±24","6","±19","90","±84","33","±34","191","±117","849","±222","301","±85","1,638","±400","2,635","±421","1,157","±405","3,282","±555","1,404","±360","3,269","±666","2,932","±499","1,861","±493","4,376","±516","1,091","±401","1,285","±251","1,751","±299","1,342","±332","511","±265","0","±13","1,623","±317","4,104","±497","1,906","±444","41","±34","14","±16","0","±13","0","±13","70","±59","945","±273","655","±290","909","±259","433","±180"
"        Subway or elevated rail","307","±113","382","±148","111","±54","433","±147","1,010","±297","1,277","±245","1,833","±309","1,830","±330","1,653","±315","1,507","±379","1,289","±272","1,735","±510","2,098","±430","4,329","±654","2,683","±421","1,278","±325","2,860","±459","10,351","±1,056","1,498","±376","6,120","±604","1,790","±316","744","±212","0","±13","1,928","±384","4,304","±488","1,718","±436","11","±12","89","±58","0","±13","0","±13","213","±123","1,205","±282","2,261","±425","2,510","±406","561","±217"
"        Long-distance train or commuter rail","36","±35","0","±13","21","±26","55","±67","57","±34","14","±16","28","±26","326","±133","243","±107","7","±11","68","±56","63","±98","6","±15","51","±41","61","±43","66","±49","47","±44","317","±279","8","±13","165","±90","663","±153","559","±133","0","±13","90","±129","555","±190","502","±185","0","±13","0","±13","0","±13","0","±13","31","±39","17","±17","194","±201","35","±39","57","±44"
"        Light rail, streetcar or trolley (carro público in Puerto Rico)","0","±13","0","±13","0","±13","0","±19","18","±21","41","±44","175","±106","57","±47","31","±31","37","±60","32","±31","0","±25","0","±25","87","±75","31","±37","89","±51","53","±67","81","±103","0","±25","164","±106","0","±28","6","±9","0","±13","429","±200","860","±227","29","±33","0","±13","0","±13","0","±13","0","±13","35","±42","68","±60","342","±137","596","±202","94","±62"
"        Ferryboat","0","±13","0","±13","0","±13","0","±19","87","±136","0","±21","0","±25","0","±25","39","±42","0","±25","0","±21","47","±49","0","±25","0","±31","0","±28","0","±25","17","±23","24","±26","148","±76","0","±28","0","±28","0","±25","0","±13","0","±21","0","±28","0","±28","0","±13","0","±13","0","±13","0","±13","0","±13","0","±25","0","±25","0","±28","0","±25"
"    Taxicab","23","±29","23","±28","0","±13","27","±27","0","±19","58","±41","30","±25","104","±88","92","±51","202","±186","10","±16","43","±53","130","±121","81","±74","115","±73","33","±43","306","±153","66","±56","45","±31","30","±36","55","±50","30","±37","0","±13","119","±87","138","±76","0","±28","14","±17","21","±25","0","±13","0","±13","0","±13","41","±28","75","±61","24","±39","29","±41"
"    Motorcycle","0","±13","0","±13","0","±13","0","±19","0","±19","0","±21","0","±25","18","±31","45","±47","0","±25","0","±21","0","±25","0","±25","0","±31","0","±28","0","±25","99","±76","0","±28","0","±25","0","±28","14","±21","0","±25","0","±13","42","±48","0","±28","25","±28","0","±13","0","±13","0","±13","0","±13","0","±13","0","±25","0","±25","0","±28","13","±21"
"    Bicycle","61","±66","45","±68","0","±13","84","±100","102","±62","137","±64","356","±113","283","±111","353","±125","398","±190","133","±85","168","±148","200","±132","193","±114","200","±84","15","±25","248","±135","68","±54","452","±162","1,398","±214","326","±171","112","±72","0","±13","806","±201","601","±190","49","±36","49","±73","30","±35","0","±13","0","±13","95","±94","332","±171","783","±216","881","±254","107","±54"
"    Walked","891","±198","1,333","±398","485","±141","1,841","±348","1,992","±341","3,626","±505","5,931","±668","5,176","±519","4,096","±594","897","±250","1,943","±373","509","±167","604","±221","677","±230","1,363","±409","385","±176","2,276","±370","1,222","±261","1,841","±268","1,798","±463","541","±239","231","±114","0","±13","1,239","±271","1,755","±360","416","±186","453","±117","315","±120","0","±13","0","±13","1,553","±349","6,719","±635","1,855","±371","3,416","±489","1,708","±273"
"    Other means","0","±13","12","±14","14","±22","35","±35","6","±11","178","±117","176","±98","343","±179","128","±118","150","±105","120","±78","244","±142","201","±122","879","±261","147","±94","241","±165","217","±126","209","±111","123","±66","97","±77","157","±120","124","±62","0","±13","120","±114","230","±145","200","±173","0","±13","0","±13","0","±13","0","±13","21","±24","144","±94","123","±97","225","±110","112","±68"
"    Worked from home","487","±190","397","±157","205","±109","552","±248","1,043","±331","1,987","±408","1,183","±309","1,946","±293","1,834","±288","758","±285","488","±154","462","±181","888","±412","2,762","±645","1,423","±339","997","±322","3,959","±825","3,146","±606","1,981","±354","4,198","±596","2,053","±402","2,263","±548","0","±13","1,665","±582","3,671","±511","1,513","±484","48","±31","120","±83","0","±13","0","±13","796","±191","1,744","±441","2,823","±519","3,676","±675","1,724","±354"
