X,Y,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId
-7913722.52668267,5212319.84262665,B32012,Northeastern University - North Parking Lot,42.341814,-71.090179,Boston,Yes,15,86
-7911230.52856177,5224684.60376714,G32002,Northern Strand at Main St,42.42386,-71.067793,Malden,Yes,11,87
-7922217.53966409,5213638.64783986,D32031,Oak Square - 615 Washington St,42.35057,-71.166491,Boston,Yes,14,88
-7915752.36412642,5214707.03281691,M32076,Old Morse Park at Putnam Ave,42.35766248,-71.10841334,Cambridge,Yes,15,89
-7910513.44179793,5214829.83323247,B32061,One Beacon St,42.35847764,-71.0613513,Boston,Yes,16,90
-7915312.8469469,5211131.43354467,B32036,One Brigham Circle,42.3339227,-71.10446509,Boston,Yes,15,91
-7912935.68935229,5215396.90721541,M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,Cambridge,Yes,23,92
-7913890.73043326,5216004.85446449,M32002,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Cambridge,Yes,19,93
-7912637.88633732,5215303.12897413,M32053,One Memorial Drive,42.36161932,-71.08043551,Cambridge,Yes,19,94
-7904362.67257728,5219094.60339093,A32035,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,Boston,Yes,19,95
-7902873.91910326,5222165.99756436,R32002,Orr Sq (Shirley Ave),42.40715656,-70.9927243,Revere,Yes,11,96
-7917422.11863969,5221763.98590881,S32009,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,Somerville,Yes,15,97
-7917468.65018685,5213893.36288489,A32012,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Boston,Yes,27,98
-7915405.90002245,5213137.22115418,A32008,Park Dr at Buswell St,42.347241,-71.105301,Boston,Yes,15,99
-7911232.57461401,5213828.15005931,D32042,Park Plaza at Charles St S.,42.35182807,-71.06781138,Boston,Yes,19,100
-7912390.99083869,5205185.54205312,C32039,Park St at Norwell St,42.29442579,-71.07821761,Boston,Yes,15,101
