,DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName,zipCode
918,2021-02-13,0,EST,Boston,MA,42.35657,-71.06516,OZONE,29,1,Good,2108
919,2021-02-13,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,27,1,Good,2108
921,2021-02-14,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,36,1,Good,2108
920,2021-02-14,0,EST,Boston,MA,42.35657,-71.06516,OZONE,22,1,Good,2108
923,2021-02-15,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,38,1,Good,2108
922,2021-02-15,0,EST,Boston,MA,42.35657,-71.06516,OZONE,26,1,Good,2108
925,2021-02-16,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,26,1,Good,2108
924,2021-02-16,0,EST,Boston,MA,42.35657,-71.06516,OZONE,27,1,Good,2108
927,2021-02-17,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,23,1,Good,2108
926,2021-02-17,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
929,2021-02-18,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,26,1,Good,2108
928,2021-02-18,0,EST,Boston,MA,42.35657,-71.06516,OZONE,26,1,Good,2108
931,2021-02-19,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,33,1,Good,2108
930,2021-02-19,0,EST,Boston,MA,42.35657,-71.06516,OZONE,25,1,Good,2108
932,2021-02-20,0,EST,Boston,MA,42.35657,-71.06516,OZONE,32,1,Good,2108
933,2021-02-20,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,36,1,Good,2108
935,2021-02-21,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,35,1,Good,2108
934,2021-02-21,0,EST,Boston,MA,42.35657,-71.06516,OZONE,35,1,Good,2108
937,2021-02-22,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,48,1,Good,2108
936,2021-02-22,0,EST,Boston,MA,42.35657,-71.06516,OZONE,32,1,Good,2108
939,2021-02-23,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,43,1,Good,2108
938,2021-02-23,0,EST,Boston,MA,42.35657,-71.06516,OZONE,39,1,Good,2108
941,2021-02-24,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,29,1,Good,2108
940,2021-02-24,0,EST,Boston,MA,42.35657,-71.06516,OZONE,38,1,Good,2108
943,2021-02-25,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,24,1,Good,2108
942,2021-02-25,0,EST,Boston,MA,42.35657,-71.06516,OZONE,35,1,Good,2108
945,2021-02-26,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,30,1,Good,2108
944,2021-02-26,0,EST,Boston,MA,42.35657,-71.06516,OZONE,35,1,Good,2108
947,2021-02-27,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,34,1,Good,2108
946,2021-02-27,0,EST,Boston,MA,42.35657,-71.06516,OZONE,30,1,Good,2108
948,2021-02-28,0,EST,Boston,MA,42.35657,-71.06516,OZONE,30,1,Good,2108
949,2021-02-28,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,35,1,Good,2108
992,2021-03-01,0,EST,Boston,MA,42.35657,-71.06516,OZONE,32,1,Good,2108
993,2021-03-01,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,27,1,Good,2108
994,2021-03-02,0,EST,Boston,MA,42.35657,-71.06516,OZONE,32,1,Good,2108
995,2021-03-02,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,21,1,Good,2108
996,2021-03-03,0,EST,Boston,MA,42.35657,-71.06516,OZONE,34,1,Good,2108
997,2021-03-03,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,35,1,Good,2108
998,2021-03-04,0,EST,Boston,MA,42.35657,-71.06516,OZONE,32,1,Good,2108
999,2021-03-04,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,28,1,Good,2108
1000,2021-03-05,0,EST,Boston,MA,42.35657,-71.06516,OZONE,34,1,Good,2108
1001,2021-03-05,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,19,1,Good,2108
1002,2021-03-06,0,EST,Boston,MA,42.35657,-71.06516,OZONE,34,1,Good,2108
1003,2021-03-06,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,24,1,Good,2108
1004,2021-03-07,0,EST,Boston,MA,42.35657,-71.06516,OZONE,33,1,Good,2108
1005,2021-03-07,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,23,1,Good,2108
1006,2021-03-08,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
1007,2021-03-08,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,31,1,Good,2108
1008,2021-03-09,0,EST,Boston,MA,42.35657,-71.06516,OZONE,37,1,Good,2108
1009,2021-03-09,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,35,1,Good,2108
1011,2021-03-10,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,38,1,Good,2108
1010,2021-03-10,0,EST,Boston,MA,42.35657,-71.06516,OZONE,34,1,Good,2108
1012,2021-03-11,0,EST,Boston,MA,42.35657,-71.06516,OZONE,54,2,Moderate,2108
1013,2021-03-11,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,61,2,Moderate,2108
1014,2021-03-12,0,EST,Boston,MA,42.35657,-71.06516,OZONE,40,1,Good,2108
1015,2021-03-12,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,38,1,Good,2108
1016,2021-03-13,0,EST,Boston,MA,42.35657,-71.06516,OZONE,35,1,Good,2108
1017,2021-03-13,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,19,1,Good,2108
1018,2021-03-14,0,EST,Boston,MA,42.35657,-71.06516,OZONE,38,1,Good,2108
1019,2021-03-14,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,21,1,Good,2108
1021,2021-03-15,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,23,1,Good,2108
1020,2021-03-15,0,EST,Boston,MA,42.35657,-71.06516,OZONE,35,1,Good,2108
1023,2021-03-16,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,28,1,Good,2108
1022,2021-03-16,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
1025,2021-03-17,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,37,1,Good,2108
1024,2021-03-17,0,EST,Boston,MA,42.35657,-71.06516,OZONE,38,1,Good,2108
1027,2021-03-18,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,56,2,Moderate,2108
1026,2021-03-18,0,EST,Boston,MA,42.35657,-71.06516,OZONE,32,1,Good,2108
1029,2021-03-19,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,23,1,Good,2108
1028,2021-03-19,0,EST,Boston,MA,42.35657,-71.06516,OZONE,35,1,Good,2108
1031,2021-03-20,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,30,1,Good,2108
