,FID,GEOID10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,TotDis,TotChild,OlderAdult,Low_to_No,LEP,POC2,MedIllnes,Name,Shape__Area,Shape__Length,longitude,latitude,closest_sensor,pm2.5_atm,pm10_atm
17,18,25025000301,6159816.07,141.4099,2740,1219,326,280,357,379,736,690,1115.87,Brighton,1048620.72265625,4982.87746647,-71.16882712224601,42.35415293042152,28273,8.242,9.116
18,19,25025140400,20351684.25,467.2104,7650,2906,760,1839,1019,1654,2673,6984,2980.22,Roslindale,3455346.61328125,11303.2034965295,-71.11098204454727,42.26932612781275,26219,8.807500000000001,9.9115
19,20,25025140300,17100930.39,392.5833,6382,2525,983,900,1016,1361,2377,5198,2480.86,Hyde Park,2902468.60546875,9975.19986557243,-71.11881655252301,42.25882272479195,26219,8.807500000000001,9.9115
20,21,25025140201,15233749.25,349.7188,2072,935,161,366,131,160,291,1094,792.52,Hyde Park,2583795.65234375,9698.35156606373,-71.12995033711128,42.23710940091759,26219,8.807500000000001,9.9115
21,22,25025140202,16745324.86,384.4198,5600,2081,745,1401,725,840,1565,3200,2153.35,Hyde Park,2841243.5625,7631.15271377505,-71.11736410430858,42.24907980659721,26219,8.807500000000001,9.9115
22,23,25025140102,23198637.86,532.5674,4401,1654,529,975,546,666,1212,2702,1660.79,West Roxbury,3935789.66015625,12149.0989851129,-71.13797835078972,42.24575656394834,26219,8.807500000000001,9.9115
23,24,25025100800,19049295.24,437.3116,5546,2702,1041,1585,772,864,1636,2650,2169.73,Mattapan,3235148.44140625,10737.0877204226,-71.06078465344889,42.27840625239361,26219,8.807500000000001,9.9115
24,25,25025100601,5947564.59,136.5373,5154,2192,450,1006,429,841,1270,3052,1878.33,Dorchester,1010472.81640625,4576.55436463994,-71.05627987416722,42.29085773036278,26219,8.807500000000001,9.9115
25,26,25025100500,9244789.61,212.2312,5989,2383,894,1413,493,1256,1749,5193,2149.0,Dorchester,1570532.08203125,5920.39560853341,-71.07074789037873,42.28824307826345,26219,8.807500000000001,9.9115
26,27,25025100400,6739591.92,154.7197,4865,1830,723,1016,599,1090,1689,4308,1839.6,Mattapan,1144709.0078125,4975.92874945639,-71.07084517939884,42.28179568418366,26219,8.807500000000001,9.9115
27,28,25025100300,5294161.33,121.5372,3303,1262,672,1052,355,1305,1660,3183,1199.65,Mattapan,899233.578125,4340.72838458024,-71.07979778201337,42.282806607649164,26219,8.807500000000001,9.9115
28,29,25025130402,24463363.16,561.6015,4637,2196,614,716,816,380,1196,942,1931.52,West Roxbury,4153884.7734375,11148.4192930875,-71.16940324861557,42.272774842194416,39657,12.1045,13.859
29,30,25025130300,15522347.97,356.3441,4419,1811,297,1004,690,188,878,742,1752.17,Roslindale,2636226.47265625,7428.26329686546,-71.15071045411099,42.279138309406534,26219,8.807500000000001,9.9115
30,31,25025130200,14558816.72,334.2244,4506,1914,301,872,746,192,938,593,1874.69,Roslindale,2473224.234375,7321.32914012963,-71.15701232063005,42.28734061614286,39657,12.1045,13.859
31,32,25025130100,47252103.12,1084.759,5906,2816,702,1135,1043,379,1422,1117,2388.24,West Roxbury,8027732.4765625,14344.6620413116,-71.17132659717845,42.28992857705939,39657,12.1045,13.859
32,33,25025120700,3201881.94,73.5051,2014,1044,179,173,239,410,649,747,830.1,Jamaica Plain,544562.06640625,4171.27543944695,-71.11121159327757,42.32426440429295,26219,8.807500000000001,9.9115
33,34,25025120600,2779177.05,63.8011,2335,1103,171,240,104,259,363,584,900.54,Jamaica Plain,472593.64453125,2702.51260710699,-71.10884126746105,42.31911837383519,26219,8.807500000000001,9.9115
34,35,25025120500,2300163.94,52.8045,2331,905,260,456,166,752,918,1567,875.52,Jamaica Plain,391157.58984375,3154.68675442953,-71.10420304974141,42.3206673713274,26219,8.807500000000001,9.9115
35,36,25025120400,10751638.6,246.8237,5751,2825,405,740,403,1148,1551,1407,2368.06,Jamaica Plain,1827995.88671875,7538.40732285082,-71.11166598153935,42.313910315509965,26219,8.807500000000001,9.9115
36,37,25025110601,15228405.8,349.5961,2969,1295,335,443,843,159,1002,389,1341.12,Roslindale,2587677.50390625,6922.91020315498,-71.14044536459751,42.29600346733218,26219,8.807500000000001,9.9115
37,38,25025110502,7365204.55,169.0818,3806,1684,347,659,461,481,942,1736,1504.48,Roslindale,1251013.125,5165.09282558452,-71.13260554188108,42.28292584702152,26219,8.807500000000001,9.9115
38,39,25025110501,6972865.51,160.075,3253,1371,529,840,501,638,1139,954,1283.32,Roslindale,1184344.39453125,4846.05545164341,-71.14144931516547,42.28217057290541,26219,8.807500000000001,9.9115
39,40,25025110401,5623201.08,129.0909,3566,1362,440,853,303,985,1288,2449,1298.43,Roslindale,955231.703125,4296.61485699984,-71.1225535375894,42.286441991539206,26219,8.807500000000001,9.9115
40,41,25025101102,6040704.52,138.6755,4396,1672,900,1413,507,2158,2665,4342,1593.41,Mattapan,1025908.19140625,5759.17809128343,-71.09204671445343,42.27880483023679,26219,8.807500000000001,9.9115
41,42,25025101101,4087498.72,93.8361,3155,1160,461,918,366,827,1193,3126,1149.59,Mattapan,694274.54296875,3754.78080679895,-71.09508246638909,42.282673617799006,26219,8.807500000000001,9.9115
42,43,25025101002,12588331.04,288.9883,4979,2149,914,1239,777,1475,2252,4778,1926.43,Mattapan,2137594.890625,6872.71145686641,-71.08594831396735,42.27416151223618,26219,8.807500000000001,9.9115
43,44,25025101001,14014997.85,321.7401,5480,2266,1098,1136,698,1518,2216,5347,2163.21,Roslindale,2379706.2890625,8259.19954121127,-71.10017138748226,42.27219375613095,26219,8.807500000000001,9.9115
44,45,25025100900,10776155.25,247.3865,4072,1729,507,945,478,1315,1793,3139,1544.95,Mattapan,1829853.078125,8429.16680326858,-71.07463095401926,42.273802557771404,26219,8.807500000000001,9.9115
45,46,25025981600,6512223.54,149.5001,0,0,0,0,0,0,0,0,0.0,East Boston,1109816.83984375,8440.76326096118,-70.99361439572014,42.38859153895411,3642,7.6985,8.4805
46,47,25025051101,12481789.43,286.5425,6093,2345,655,1430,690,2013,2703,2904,2326.07,East Boston,2127114.671875,11480.2281686456,-71.00427235336468,42.388032642673274,3642,7.6985,8.4805
47,48,25025051000,11241128.12,258.0608,4089,1784,831,888,762,939,1701,1873,1611.39,East Boston,1915578.69921875,8375.4845024298,-71.01556929843001,42.38626469260799,3642,7.6985,8.4805
48,49,25025030400,1169226.18,26.8417,2451,1659,185,144,215,572,787,198,1020.89,North End,199108.65234375,2510.83716733793,-71.05416838459824,42.36444535151819,29389,7.7455,8.405000000000001
49,50,25025030300,7441425.2,170.8316,4872,2960,678,310,1001,831,1832,884,2185.21,North End,1267040.18359375,9013.74315560016,-71.05550980837366,42.360250808855845,29389,7.7455,8.405000000000001
50,51,25025981300,77303253.63,1774.6385,389,245,0,55,0,16,16,131,151.28,East Boston,13164093.7773438,23907.1486028679,-71.01247691211114,42.3645560305841,3642,7.6985,8.4805
51,52,25025110103,10064472.96,231.0485,5460,2353,624,1264,357,1584,1941,3322,2036.89,Roslindale,1710209.66015625,9686.15602495687,-71.11573915166763,42.296191252221696,26219,8.807500000000001,9.9115
52,53,25025110301,8803506.22,202.1007,2405,955,338,506,179,241,420,1450,917.61,Roslindale,1495497.96875,6019.19770884261,-71.11327807313383,42.28681386656996,26219,8.807500000000001,9.9115
53,54,25025140106,3045619.77,69.9178,1901,898,360,658,238,806,1044,1623,679.79,Roslindale,517182.578125,3177.15992259952,-71.13667447868997,42.2749464827973,26219,8.807500000000001,9.9115
54,55,25025010701,2177562.16,49.9899,2478,1599,83,158,111,405,516,469,1005.53,Back Bay,370647.11328125,2844.34398900225,-71.08388133231968,42.349730960037846,29389,7.7455,8.405000000000001
55,56,25025010408,466915.08,10.7189,1426,961,5,34,42,454,496,412,540.77,Fenway,79458.1484375,1157.9462991962,-71.09584668715995,42.34317689658192,29389,7.7455,8.405000000000001
56,57,25025000503,1497746.66,34.3835,2211,1408,71,15,147,451,598,472,893.44,Brighton,254853.57421875,2400.16965268197,-71.15009980825897,42.339644650671985,28273,8.242,9.116
57,58,25025030200,718033.85,16.4838,1665,1103,94,11,199,400,599,142,702.05,North End,122275.00390625,1847.67875185992,-71.05697558787196,42.36452944921629,29389,7.7455,8.405000000000001
58,59,25025030100,821725.44,18.8642,1954,1377,104,69,217,581,798,136,848.11,North End,139943.48046875,1643.68936308702,-71.05615079788656,42.36695485971512,3642,7.6985,8.4805
59,60,25025020200,1258118.25,28.8824,3649,2478,135,250,170,802,972,610,1482.61,West End,214218.5234375,2188.39866644666,-71.06863397871288,42.36034408607577,29389,7.7455,8.405000000000001
60,61,25025010600,3654163.73,83.8881,2858,2325,293,151,683,346,1029,699,1246.18,Back Bay,621941.66796875,4101.92270595796,-71.07938565984645,42.34764711098558,29389,7.7455,8.405000000000001
61,62,25025010500,2137658.05,49.0739,3044,1767,433,33,511,1080,1591,1074,1251.06,Back Bay,363799.67578125,2680.90624543607,-71.08416739453288,42.34488378732433,29389,7.7455,8.405000000000001
62,63,25025010300,5480700.06,125.8196,4861,416,207,118,11,186,197,1480,1824.08,Longwood Medical Area,932578.8203125,5082.93072736073,-71.1017933916678,42.339433791083934,29389,7.7455,8.405000000000001
63,64,25025000802,10520753.59,241.5233,8136,3129,639,469,220,3381,3601,3844,3004.1,Brighton,1791162.140625,8755.5216223174,-71.12975820252039,42.35688045784095,29389,7.7455,8.405000000000001
64,65,25025000701,2480202.83,56.9376,4446,2359,190,102,126,1176,1302,1396,1708.7,Brighton,422123.6796875,2963.48769036834,-71.13798530772365,42.34696673399904,28273,8.242,9.116
65,66,25025981201,8466782.86,194.3706,0,0,0,0,0,0,0,0,0.0,Dorchester,1440276.52734375,18423.4115250701,-71.03601089506442,42.3305133877691,29389,7.7455,8.405000000000001
66,67,25025981501,9855271.2,226.2459,12,0,0,0,0,0,0,5,5.04,Back Bay,1678094.82421875,37055.0765250241,-71.11681744360483,42.36126065022658,29389,7.7455,8.405000000000001
67,68,25025981700,3549169.38,81.4777,0,0,0,0,0,0,0,0,0.0,Back Bay,604206.31640625,3297.01352678857,-71.06726303042046,42.35471706429663,29389,7.7455,8.405000000000001
68,69,25025981800,11806322.09,271.0359,82,49,0,0,8,0,8,11,43.24,Jamaica Plain,2008240.65625,16921.9516595243,-71.11107461469607,42.32858359943067,29389,7.7455,8.405000000000001
69,70,25025100200,3773472.45,86.627,2787,1013,387,691,219,497,716,2750,973.51,Mattapan,640979.34375,3752.88595214373,-71.08572207415835,42.284809055535305,26219,8.807500000000001,9.9115
70,71,25025081200,3039251.67,69.7716,3265,1232,557,1177,292,2122,2414,2872,1113.61,Jamaica Plain,516905.45703125,3278.49015508653,-71.10386313903274,42.32444020683366,26219,8.807500000000001,9.9115
71,72,25025081100,5337204.78,122.5254,4091,1781,314,443,610,1578,2188,2138,1713.58,Jamaica Plain,907846.23046875,6384.90830767346,-71.10748136434718,42.32839924298934,29389,7.7455,8.405000000000001
72,73,25025080900,2762558.85,63.4196,4008,1776,209,246,335,1729,2064,1407,1560.02,Mission Hill,469963.59375,3351.81870035344,-71.10169143330182,42.3323545593184,29389,7.7455,8.405000000000001
73,74,25025080801,3925348.89,90.1136,3885,946,455,602,206,1807,2013,2627,1347.88,Mission Hill,667823.92578125,3272.86868468911,-71.0962100596075,42.33461440540009,29389,7.7455,8.405000000000001
74,75,25025080601,6029101.2,138.4091,4271,920,224,462,97,1424,1521,2125,1544.26,Mission Hill,1025696.86328125,6950.80699910222,-71.08804541110587,42.33337542532376,29389,7.7455,8.405000000000001
75,76,25025080500,2643088.91,60.677,3096,1323,663,707,240,1919,2159,2863,1064.84,Roxbury,449686.73828125,3274.72535279935,-71.08254240657389,42.33569102757302,29389,7.7455,8.405000000000001
76,77,25025080401,4740788.83,108.8335,2710,1249,589,805,300,1540,1840,2510,999.88,Roxbury,806492.1015625,5235.83033997813,-71.08089910141014,42.33212724700684,29389,7.7455,8.405000000000001
77,78,25025080300,2893472.78,66.425,1769,791,309,373,80,938,1018,1686,629.14,Roxbury,492158.69140625,3543.02036580523,-71.07905095898212,42.327460617488214,29389,7.7455,8.405000000000001
78,79,25025071101,3904559.5,89.6364,3753,2185,574,506,367,1638,2005,1916,1498.77,Roxbury,664315.0,3768.05015803819,-71.07275748218619,42.335964809814755,29389,7.7455,8.405000000000001
79,80,25025070900,1802491.05,41.3795,3329,1798,471,285,228,865,1093,1847,1259.64,Roxbury,306696.59765625,2338.29225614345,-71.07815965418943,42.33843692856131,29389,7.7455,8.405000000000001
80,81,25025100100,11170897.96,256.4485,5510,2047,1030,2244,469,2786,3255,5453,1901.9,Roxbury,1897861.21875,5995.5105346252,-71.08743087315412,42.29019581111291,26219,8.807500000000001,9.9115
81,82,25025092400,6393422.53,146.7728,5277,2065,769,1734,304,2366,2670,5221,1834.43,Roxbury,1086400.28125,5465.1759080214,-71.08498829402646,42.2960504174861,26219,8.807500000000001,9.9115
82,83,25025092300,3691503.3,84.7453,2893,1077,469,866,325,793,1118,2846,1025.58,Dorchester,627236.08203125,3244.82004941034,-71.07506134087406,42.293952192366625,26219,8.807500000000001,9.9115
83,84,25025092200,6256656.21,143.6331,3349,1227,370,558,241,692,933,2609,1214.13,Dorchester,1063126.15234375,4618.31104303898,-71.06617029051822,42.29503181184772,26219,8.807500000000001,9.9115
84,85,25025092000,5271120.79,121.0083,4945,1693,762,1532,476,1816,2292,4687,1751.7,Dorchester,895795.703125,4815.16930602393,-71.06756731144387,42.29968445761825,26219,8.807500000000001,9.9115
85,86,25025091900,5187639.74,119.0918,3860,1380,674,1055,381,1180,1561,3766,1342.99,Dorchester,881641.05078125,3965.83890540021,-71.07553138340832,42.30084948788627,26219,8.807500000000001,9.9115
86,87,25025091800,4650342.47,106.7572,3452,1214,515,949,311,1169,1480,3320,1215.35,Dorchester,790489.3984375,3681.99917287114,-71.07051728584565,42.307375051794146,26219,8.807500000000001,9.9115
87,88,25025091700,3114052.12,71.4888,3069,1050,465,964,175,1457,1632,2869,1043.21,Dorchester,529280.3828125,3758.10626178309,-71.06591422756539,42.303619773406474,26219,8.807500000000001,9.9115
88,89,25025091600,3365584.51,77.2632,3138,1165,625,1193,370,1984,2354,2753,1063.01,Dorchester,572075.75,4190.20544771592,-71.0611899877666,42.306045059732746,26219,8.807500000000001,9.9115
89,90,25025050101,3226514.74,74.0706,5115,1850,920,1270,526,2063,2589,3687,1768.04,East Boston,549730.37890625,5260.63104422539,-71.03797308206286,42.380860105981796,3642,7.6985,8.4805
90,91,25025050901,6618679.35,151.944,4165,1446,463,830,229,1587,1816,2950,1482.12,East Boston,1127713.81640625,8668.38083009012,-71.02884752543699,42.381672392314975,3642,7.6985,8.4805
91,92,25025060501,4431658.04,101.7369,3571,1942,234,324,269,437,706,228,1457.68,South Boston Waterfront,754016.9765625,4745.6792480621,-71.03821389186396,42.33687715340372,29389,7.7455,8.405000000000001
92,93,25025140107,6752343.7,155.0125,2531,1051,228,589,347,322,669,1640,985.73,Hyde Park,1146007.76953125,6222.63894370526,-71.12842117840955,42.25773038296383,26219,8.807500000000001,9.9115
93,94,25025130404,17628731.82,404.7,2901,1322,305,488,613,286,899,847,1252.41,West Roxbury,2992962.05078125,7814.68145837727,-71.15696931057765,42.26851068027172,26219,8.807500000000001,9.9115
94,95,25025981202,17165825.45,394.0731,207,0,0,0,0,0,0,52,78.27,South Boston Waterfront,2921131.34375,21495.7681457747,-71.03027088024831,42.34193341638682,29389,7.7455,8.405000000000001
95,96,25025040100,2791324.87,64.08,2168,1239,141,322,290,214,504,116,917.28,Charlestown,475470.1171875,3901.49436289691,-71.06058254690961,42.37331419321227,3642,7.6985,8.4805
96,97,25025040600,15428730.63,354.1949,2444,1334,176,326,318,387,705,209,1012.23,Charlestown,2628862.19921875,14380.9178606662,-71.0710983547068,42.38242376267811,3642,7.6985,8.4805
97,98,25025000602,6455495.77,148.1978,3974,2035,584,454,546,1676,2222,1837,1548.04,Brighton,1098786.8984375,4985.45724599918,-71.1424574476792,42.349260048386796,28273,8.242,9.116
98,99,25025000601,5328243.45,122.3196,3571,1525,205,276,334,829,1163,1091,1429.35,Brighton,906988.98828125,6368.02293613991,-71.1474449063131,42.35175262602981,28273,8.242,9.116
99,100,25025000502,12898832.45,296.1164,6303,2041,460,98,304,1043,1347,1584,2473.17,Brighton,2194611.2890625,7636.30985329529,-71.15896903799133,42.336327149818146,28273,8.242,9.116
100,101,25025000402,8683342.13,199.3421,3648,1543,170,540,367,1117,1484,914,1399.95,Brighton,1477751.296875,4930.41879032155,-71.15882930296648,42.344182898154266,28273,8.242,9.116
101,102,25025130406,11351426.76,260.5929,5107,2192,430,1444,614,1911,2525,3513,1845.94,West Roxbury,1926705.25390625,7342.64709125372,-71.15124588641812,42.26006870527811,26219,8.807500000000001,9.9115
102,103,25025120103,3802045.27,87.2829,1508,696,66,313,177,117,294,238,596.44,Jamaica Plain,646380.81640625,3240.3590400183,-71.11826375142434,42.311765422823484,26219,8.807500000000001,9.9115
103,104,25025100700,13058453.75,299.7808,4322,1975,421,877,696,485,1181,475,1762.07,Dorchester,2218022.39453125,7758.23288084341,-71.04922591942704,42.282717337389904,26219,8.807500000000001,9.9115
104,105,25025100603,9541179.81,219.0353,1904,840,185,225,376,120,496,590,752.98,Dorchester,1621001.953125,9721.47404944838,-71.0443211574593,42.290565463752195,26219,8.807500000000001,9.9115
105,106,25025092101,13905650.86,319.2298,6451,2454,1136,1350,590,2401,2991,4545,2240.18,Dorchester,2363077.25390625,7938.4484163639,-71.05393827911955,42.29826529805254,26219,8.807500000000001,9.9115
106,107,25025061101,1778928.98,40.8386,2232,1044,354,787,207,1542,1749,1783,738.64,Dorchester,302571.80859375,2835.96947008216,-71.05429743661826,42.32629305780963,29389,7.7455,8.405000000000001
107,108,25025070800,2092259.14,48.0317,3706,2156,340,289,240,1165,1405,1399,1469.35,Roxbury,356031.5859375,2513.4148562129,-71.08098556809406,42.34115740142396,29389,7.7455,8.405000000000001
108,109,25025070700,1766562.81,40.5547,2361,1366,296,321,232,528,760,1074,935.18,South End,300653.82421875,2970.4808432048,-71.07614897789804,42.345896249595796,29389,7.7455,8.405000000000001
109,110,25025070600,1426485.77,32.7476,2240,1309,11,331,110,238,348,402,925.17,South End,242755.5390625,2348.44333124732,-71.07537763678712,42.34326710531638,29389,7.7455,8.405000000000001
110,111,25025070500,3199661.22,73.4541,5460,3066,586,967,639,1544,2183,2498,2133.73,South End,544487.42578125,3839.91894868233,-71.07182395080152,42.34194480170665,29389,7.7455,8.405000000000001
111,112,25025070300,3617102.88,83.0373,3909,2706,212,506,550,951,1501,926,1693.91,Bay Village,615649.03515625,3837.94942529465,-71.07035763006449,42.34841922939752,29389,7.7455,8.405000000000001
112,113,25025000401,4639384.1,106.5056,5672,2965,887,558,1198,1899,3097,1583,2419.08,Brighton,789533.03125,3930.69695574554,-71.14929348668453,42.343858159050924,28273,8.242,9.116
113,114,25025000202,6475526.57,148.6576,3885,1522,422,492,389,1116,1505,1515,1457.46,Brighton,1102312.6875,5255.26330041345,-71.15434481627176,42.35261380305607,28273,8.242,9.116
114,115,25025000201,6451197.13,148.0991,3854,1618,222,200,299,547,846,1126,1504.63,Brighton,1098221.71484375,5425.78600889872,-71.16116824746186,42.35407489210525,28273,8.242,9.116
115,116,25025981100,29412396.21,675.2157,418,136,25,133,8,117,125,334,143.39,Roslindale,4996616.44140625,12560.1024744399,-71.10471449461568,42.28793850500431,26219,8.807500000000001,9.9115
116,117,25025140105,10880533.0,249.7827,3675,1324,414,884,386,721,1107,2370,1401.32,Roslindale,1847240.28515625,5857.41542826497,-71.12518993390407,42.26800572671334,26219,8.807500000000001,9.9115
117,118,25025980700,31654255.2,726.6817,6,5,4,0,4,0,4,1,3.02,Roslindale,5373415.36328125,16813.0536313228,-71.13840705824748,42.263988791218196,26219,8.807500000000001,9.9115
118,119,25025120105,19809165.83,454.7559,2444,953,234,364,546,206,752,554,1061.8,Jamaica Plain,3367475.3984375,10379.7640861132,-71.12860748508119,42.309360011421525,26219,8.807500000000001,9.9115
119,120,25025070200,2892950.65,66.413,5218,1690,593,459,692,1919,2611,3469,1949.13,Bay Village,492413.9921875,3195.78948647107,-71.06391499264772,42.34966258223196,29389,7.7455,8.405000000000001
120,121,25025070101,10969123.93,251.8164,5902,3383,457,465,812,1253,2065,2378,2397.59,Leather District,1867256.34765625,7045.81032884415,-71.05753571994627,42.35277637417983,29389,7.7455,8.405000000000001
121,122,25025061200,19820250.56,455.0103,3240,2041,133,221,175,547,722,497,1328.07,South End,3372538.54296875,10283.575647448,-71.05638743724171,42.339312111660966,29389,7.7455,8.405000000000001
122,123,25025061000,1862434.17,42.7556,3098,1408,618,1058,219,1991,2210,1814,1070.76,South Boston,316828.125,2451.89363472459,-71.04991767846293,42.331629254227046,29389,7.7455,8.405000000000001
123,124,25025060800,3672689.59,84.3134,3964,2142,159,429,331,571,902,387,1612.62,South Boston,624854.10546875,3888.40231178912,-71.051493221998,42.33541207833129,29389,7.7455,8.405000000000001
124,125,25025060700,1380119.54,31.6832,1893,636,322,710,194,1211,1405,1539,585.33,South Boston,234830.16015625,1970.76719045512,-71.0539047072082,42.33853040794115,29389,7.7455,8.405000000000001
125,126,25025040401,4652086.45,106.7972,2439,1222,389,530,412,482,894,437,983.66,Charlestown,792452.40234375,5996.92606274901,-71.06602683250688,42.37422494280846,3642,7.6985,8.4805
126,127,25025020303,4830892.13,110.902,3400,1847,196,289,280,437,717,1353,1387.35,North End,822687.28515625,5967.28035756342,-71.06312546430992,42.36560622324688,29389,7.7455,8.405000000000001
127,128,25025070402,2880915.51,66.1367,1723,680,317,284,469,1059,1528,1613,649.89,Bay Village,490300.1484375,3023.40962304203,-71.06486717735706,42.345435234159204,29389,7.7455,8.405000000000001
128,129,25025020302,826400.6,18.9715,1181,721,123,153,153,154,307,170,489.75,West End,140705.96484375,1635.41010240263,-71.06399620535743,42.359352879747405,29389,7.7455,8.405000000000001
129,130,25025020301,2761716.23,63.4003,2023,1414,214,64,449,456,905,620,835.46,West End,470280.26953125,4418.75935749321,-71.06816853514464,42.36343411708341,29389,7.7455,8.405000000000001
130,131,25025020101,2401692.52,55.1353,4193,2814,172,595,541,280,821,411,1781.09,Back Bay,408899.921875,3149.45182775432,-71.0694117775509,42.35771726547881,29389,7.7455,8.405000000000001
131,132,25025081001,6011081.99,137.9955,4890,2287,857,603,556,2718,3274,2710,1884.55,Mission Hill,1022670.6640625,6862.32886444202,-71.10683095093671,42.33457531302392,29389,7.7455,8.405000000000001
132,133,25025010403,953147.47,21.8813,3003,2076,435,65,428,1613,2041,1317,1214.21,Back Bay,162213.4453125,1744.67149705568,-71.08806162153716,42.34508366270868,29389,7.7455,8.405000000000001
133,134,25025000100,19319283.08,443.5097,4254,1707,383,390,389,732,1121,1746,1609.84,Brighton,3289593.34765625,11640.4976172109,-71.13858776487204,42.36149320848153,28273,8.242,9.116
134,135,25025120301,7135172.57,163.801,4795,1895,319,812,244,627,871,2887,1822.78,Jamaica Plain,1213075.3125,5375.31868917508,-71.10193188451221,42.31265022676896,26219,8.807500000000001,9.9115
135,136,25025071201,4329260.48,99.3861,3131,1399,848,712,265,1647,1912,1913,1194.65,South End,736662.3125,4587.85745555594,-71.06707349700399,42.339814969442074,29389,7.7455,8.405000000000001
136,137,25025091001,12771750.15,293.199,2742,1315,416,489,274,898,1172,1143,1074.97,Dorchester,2171216.09375,12114.1770942993,-71.05186012102862,42.31040957239103,26219,8.807500000000001,9.9115
137,138,25025091500,4350093.55,99.8644,4370,1653,743,1540,436,1565,2001,3963,1548.72,Dorchester,739547.71875,3741.25294301514,-71.06437126276336,42.31150273855432,26219,8.807500000000001,9.9115
138,139,25025091400,3498284.33,80.3096,2741,939,346,397,184,1018,1202,2545,979.08,Roxbury,594804.57421875,3432.75245551396,-71.06985431612318,42.315277569366,26219,8.807500000000001,9.9115
139,140,25025091300,2825980.81,64.8756,2499,868,312,630,238,1091,1329,2334,870.74,Roxbury,480564.98828125,3353.51275710416,-71.06687069342787,42.319944361487224,26219,8.807500000000001,9.9115
