date,min,max,median,q1,q3,stdev,count
2022-05-20T00:00:00.000Z,3.3,25.3,7.6,5.9,12.25,4.444,608
2022-05-21T00:00:00.000Z,8.3,36.6,20.85,14.9,26,6.858,594
2022-05-22T00:00:00.000Z,14.2,39.4,27.1,22.05,31.55,6.47,585
2022-05-23T00:00:00.000Z,0.1,33.5,2.4,1.2,10.7,7.965,556
2022-05-24T00:00:00.000Z,0.5,5.1,2.2,1.6,2.8,0.831,547
2022-05-25T00:00:00.000Z,0.9,5.4,2.1,1.7,3.1,0.895,579
2022-05-26T00:00:00.000Z,0.8,8.5,2.5,2,3,0.951,563
2022-05-27T00:00:00.000Z,3.3,5.6,4.15,3.75,4.55,0.538,80
2022-05-28T00:00:00.000Z,0.5,14.2,4.8,2.8,6.3,3.014,460
2022-05-29T00:00:00.000Z,0.5,10.5,3.5,2.5,4.2,1.62,611
2022-05-30T00:00:00.000Z,4.5,24.8,9.4,7.9,10.8,2.306,609
2022-05-31T00:00:00.000Z,0.6,22.8,12.1,3.1,18.2,7.556,620
2022-06-01T00:00:00.000Z,0.9,10.6,3,2.2,4.1,1.436,606
2022-06-02T00:00:00.000Z,0.6,19.7,5,3.3,6.8,3.481,623
2022-06-03T00:00:00.000Z,1.7,11,4.3,3.4,5.3,1.638,622
2022-06-04T00:00:00.000Z,1,19,6.3,4.6,7.6,3.055,595
2022-06-05T00:00:00.000Z,0.1,17,1.05,0.7,2.1,4.853,580
2022-06-06T00:00:00.000Z,0.9,11.3,5.2,3.8,7.7,2.431,612
2022-06-07T00:00:00.000Z,1.8,11.6,4.5,3.3,5.7,1.412,596
2022-06-08T00:00:00.000Z,0.6,13.2,3.4,1.5,6.35,2.735,588
2022-06-09T00:00:00.000Z,0.5,21.1,7.8,5.8,11.1,4.731,605
2022-06-10T00:00:00.000Z,0.7,16.6,3.1,1.8,4.5,1.784,607
2022-06-11T00:00:00.000Z,2,12.9,3.4,2.9,3.85,0.822,604
2022-06-12T00:00:00.000Z,4,18.8,10.6,8.7,12.6,2.639,629
2022-06-13T00:00:00.000Z,3.8,16.5,8.7,7.2,10.15,2.219,633
2022-06-14T00:00:00.000Z,2.9,8,5.4,4.7,5.9,0.875,593
2022-06-15T00:00:00.000Z,1,12.1,2.5,2,4.4,1.931,593
2022-06-16T00:00:00.000Z,1.7,48.6,4.9,4.2,5.4,2.172,606
2022-06-17T00:00:00.000Z,2.7,16.2,8,4.3,11.65,4.025,561
2022-06-18T00:00:00.000Z,0,7.4,2,0.6,3.6,1.638,545
2022-06-19T00:00:00.000Z,0,19.7,2.5,1.9,3.4,1.349,517
2022-06-20T00:00:00.000Z,2.3,13.6,4.6,3.8,7.1,2.179,624
2022-06-21T00:00:00.000Z,1.9,11.6,5,3.6,6.05,1.766,629
2022-06-22T00:00:00.000Z,1.6,10.9,3.5,2.7,5.3,1.989,611
2022-06-23T00:00:00.000Z,3.7,21.3,6.7,5.5,8.75,3.394,612
2022-06-24T00:00:00.000Z,1.8,15.6,9,5.9,10.9,3.353,629
2022-06-25T00:00:00.000Z,6.5,27,13.6,11.65,14.8,2.879,637
